HARLOW MOOR HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL493118,Long,0.1642,Lat,51.785,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,3.64,2.67,3.05,2.89,1.11,1.43,3.43,3.71,1.29,2.26,1.05,4.62,1.42,2.3,0.25,1.38,0.97,1.72,2.03,1.44,3.03,,,1.65,2.41,1.4,0.57,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,3.83,1.56,1.28,2.45,0.91,2.03,0.85,1.15,0.94,0.8,2.26,1.93,1.26,3.03,1.92,4.06,1.01,3.49,1.3,2.38,0.28,,,1.82,1,0.08,2.05,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,1.64,2.42,1.68,1.41,1.41,0.9,2.63,1.61,0.39,0.58,2.7,2.42,1.21,1.1,0.95,1.86,1.23,1.02,1.46,1.17,1.14,,,1.54,2.32,2,1.32,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.86,1.96,1.37,1.82,0.23,2.16,1.86,1.04,1.52,1.47,1.76,2.66,1.92,3.93,2.09,0.71,2.48,1.72,1.13,1.74,1.38,,,1.62,0.96,0.7,1.14,0.11,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.21,2.9,0.97,2.81,1.02,0.45,2.91,1.51,0.73,2.18,0.78,2.93,3.95,2.59,0.57,0.85,1.12,1.44,0.34,3.28,3.5,,,4.08,1.99,2.89,1.18,1.2,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.7,1.04,0.26,0.97,0.36,2.95,2.86,1.87,2.75,3.26,1.15,1.03,3,4.03,1.55,1.61,2.82,2.06,2.13,1.97,0.29,,2.89,1.36,2.13,0.85,3.55,0.73,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.64,3.62,0.17,0.59,0.89,3.73,2.17,2.35,1.28,5.12,0.84,3.38,2.38,4.12,4.65,1.7,1.65,2.15,1.98,0.56,2.17,,4.66,1.83,3.47,3.43,1.98,3.29,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,3.21,2.23,3.02,1.14,1.06,0.66,2.15,3.18,1.07,1.65,1.88,3.69,4.68,3.1,1.67,4.2,1.27,1.01,0.81,1.13,0.9,,4.9,2.48,3.01,4.1,3.28,1.31,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,3.93,2.26,1.48,3.16,1.84,4.95,1.35,3.03,2.41,2.76,4.04,1.35,0.92,3.26,3.54,2.01,2.85,2.84,1.46,4.09,,,0.96,2.83,0.45,1.04,2.26,1.5,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,1.87,2.19,2.25,1.86,3.17,0.49,4.19,2.54,3.57,4.03,1.3,1.24,2.26,0.86,4.92,2.88,5.1,1.71,1.28,3.97,,,1.21,3.88,1.53,4.99,4.05,3.5,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,1.71,0.86,0.95,2.22,0.93,0.8,3.58,2.51,2.09,3.26,3.28,3.29,5.85,0.92,2.08,2.46,2.96,2.6,1.91,2.62,,,4.12,1.02,2.18,2.1,2.09,2.6,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,2.33,1.95,3.96,3.2,2.69,1.7,4.41,0.39,1.55,1.03,5.4,1.91,1.25,0.76,2.82,3.09,2.66,0.97,2.42,0.93,,,1.27,1.51,0.62,3.72,1.8,2.28,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,30.57,25.66,20.44,24.52,15.62,22.25,32.39,24.89,19.59,28.4,26.44,30.45,30.1,30,27.01,26.81,26.12,22.73,18.25,25.28,,,,25.62,22.07,27.3,25.27,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
