CAMBRIDGE-TRUMPINGTON-RD,,,,,,,,,,,,,,,,,,,,
Grid ref,TL449558,Long,0.11790722,Lat,52.181425,Elevation,50,ft,,,,,,,,,,,,
Station no,1203/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,1.8,3.05,3.02,2.56,4.25,1.1,2.79,2.04,4.12,1.1,1.52,1.1,1.31,3.25,,
February,,,,,1.6,1.86,2.65,0.41,0.41,2.17,1.82,1.1,0.69,0.77,1.29,1.5,1.87,0.64,,
March,,,,,0.38,0.67,3.47,0.38,1.62,2.84,3.07,1.04,0.65,0.24,0.86,1.42,4.37,0.57,,
April,,,,,2.89,1.32,2.83,0.19,2.85,1.13,0.85,0.94,0.77,1.53,0.73,1.1,1.39,1.5,,
May,,,,,0.76,1.53,2.53,1.92,1.04,1.22,1.62,1.57,1.55,0.85,2.1,1.7,0.77,2.57,,
June,,,,,2.15,3.35,1.46,0.6,1.76,0.37,1,0.51,1.84,0.92,1.29,1.89,2.58,2.03,,
July,,,,,0.49,5.2,1.67,1.29,1.68,2.7,2.01,2.57,0.56,1.53,1.31,2.35,1.55,1.46,,
August,,,,,1.6,0.51,0.91,1.52,3.02,0.13,3.86,1.26,1.27,2.42,1.3,3,0.05,5.51,,
September,,,,,5.17,2.85,2.43,3.35,1.86,0.74,0.44,1.18,1.5,2.54,2.99,2.24,0.81,1.45,,
October,,,,,1.97,1.9,2.15,2.47,3.92,1.49,1.8,3.14,1.71,3.18,2.34,1.13,0.21,1.72,,
November,,,,,3.01,2.22,1.84,1.89,2.88,5.75,2.37,2.35,1.17,2.71,0.21,3.91,0.97,1.11,,
December,,,,,1.7,1.56,2.3,2.76,1.15,1.42,0.68,1.83,1.02,0.81,2.1,1.71,2.63,1.69,,
Total,,,,,23.52,26.02,27.26,19.34,26.44,21.06,22.31,19.53,16.85,18.6,18.04,23.05,18.51,23.5,,
