HEANOR-DENBY,,,,,,,,,,,,,,,,,,,,
Grid ref,SK411474,Long,-1.3887246,Lat,53.022323,Elevation,440,ft.,,,,,,,,,,,,
Station no,2663/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.58,1.46,3.74,3.77,3.18,6.22,3.06,3.12,3.49,4.57,3.68,2.61,3.24,,,,
February,,,,0.58,3.12,2.52,4.5,0.92,1.54,3.15,2.63,2.29,0.43,2.46,3.68,3.83,,,,
March,,,,2.06,0.88,1.91,2.3,0.11,1.72,2.19,2.97,1.64,0.72,0.21,1.7,0.85,,,,
April,,,,2.23,3.56,2.23,2.79,0.14,1.93,1.81,1.83,1.31,0.61,2.7,1.07,0.83,,,,
May,,,,1.25,0.32,0.37,2.7,2.66,1.46,1.05,3.13,4.15,4.06,1.42,2.83,1.38,,,,
June,,,,0.71,3.53,3.42,0.87,1.72,1.84,0.89,0.28,1.01,2.22,2.18,3.41,2.8,,,,
July,,,,1.67,0.67,4.56,2.88,5.69,5.1,2.83,4.32,2.29,1.08,3.75,2.45,2.68,,,,
August,,,,1.97,2.39,0.88,0.7,2.74,2.57,0.43,4.17,3.08,2.93,3.42,2.76,3.85,,,,
September,,,,2.3,6.73,3.83,1.53,3.67,1.45,0.79,0.16,1.66,2.63,6.03,1.82,3.21,,,,
October,,,,1.53,5.6,2.29,2.55,3.45,2.82,5.11,2.85,1.91,2.02,4.05,5.4,1.38,,,,
November,,,1.54,1.96,5.5,3.31,1.71,3.79,4.34,8.2,4.05,1.57,2.59,7.54,0.16,6.84,,,,
December,,,0.47,5.58,4.53,2.46,3.17,5.2,2.41,2.03,0.98,2.09,1.1,1.73,2.2,2.96,,,,
Total,,,,24.42,38.29,31.52,29.47,33.27,33.4,31.54,30.49,26.49,24.96,39.17,30.09,33.85,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940 record and is in Denby. Altitudes match.,,,,,,,,,,,,,,,,,,,,
