GLOUCESTER LLANTHONY LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO822183,Long,-2.259894,Lat,51.862994,Elevation,39,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,,,,,,,,,,,0.66,0.58,2.2,2.68,3.02,2.15,4.75,2.05,0.62,0.82,2.39,1.94,0.82,1.4,1.71,2.83,0.52,2.2,0.35,3.77,2.89,1.26,0.82,3.36,3.15,0.94,3.97,1.21,0.78,0.68,2.26,0.98,3.67,4.3,0.62,3.13,1.14,1.23,2.97,3.49,3.23,2.9,3.11,1.43,3.34,1.92,3.11,3.05,3.86,0.75,4.45,1.11,2.5,2.26,1.66,0.72,2.71,2.55,2.12,3.77,2.37,2.49,2.45,4.77,1.18,1.81,2.38,1.71,3.62,1.16,0.37,3,1.97,0.66,1.48,2.03,2.77,,,,,,,,,,,,
February,,,,,,,,,,,3.87,3.05,2.39,3.65,1.52,3.63,0.74,0.57,0.91,1.02,0.47,0,1,2.48,1.76,0.14,0.21,2.59,1.14,3.19,5.41,1.29,1.18,1.37,3.24,0.74,1.32,0.92,0.87,0.49,2.91,1.13,2.34,1.05,2.34,3.75,4.07,1.02,1.52,3.06,0.33,0.31,3.3,3.78,0.02,3.57,1.7,3.06,2.05,0.33,0.7,1.8,0.17,2.69,0.4,1.47,2.11,3.2,0.69,0.91,1.85,1.64,0.56,0.95,0.61,1.84,1.68,0.84,1.11,0.96,4.92,2.81,0.55,1.37,2.21,1.47,,,,,,,,,,,,,
March,,,,,,,,,,,0.86,1.3,1.07,1.35,2.42,1.08,2.56,1.15,2.39,3.5,0.63,1.5,0.66,0.14,1.27,1.99,1.95,2.98,0.35,0.49,0.9,2.37,1.32,3.65,1.43,3.48,1.21,0.64,2.85,2.54,0.62,2.02,3.81,3.67,2.86,1.03,3.84,2.4,1.27,4.08,2.64,1.32,1.9,2.07,0.84,0.38,0.04,3.23,2.57,0.19,1.85,0.21,1.87,2.13,1.7,0.47,1.97,2.55,0.09,1.33,1.5,1.74,1.99,0.68,0.44,1.13,0.86,5.51,1.16,1.04,1.26,3.34,2.22,0.6,2.14,1.36,,,,,,,,,,,,,
April,,,,,,,,,,,1.58,0.66,3.05,1.17,1.47,2.14,2.24,1.46,2.14,3.55,0.73,1.06,0.91,0,1.43,2.24,0.67,0.97,1.64,2.29,1.05,2.56,1.66,1.66,1.05,2.69,0.63,2.75,1.98,1.68,2.11,0.77,0.15,2.98,1.08,1.09,1,1.29,2.55,1.87,3.63,0.91,2.66,2.32,2.15,1.97,3.17,0.99,0.97,0.79,2.36,2.43,2.35,0.78,1.54,3.64,1.61,2,0.09,2.48,1.56,0.7,1.19,0.64,0.93,1.05,2.4,2.69,2.36,1.91,2.08,2.56,2.27,2.59,0.28,0.58,,,,,,,,,,,,,
May,,,,,,,,,,,1.06,1.08,2.01,1.38,0.53,2.24,4.22,2.19,1.82,3.11,1.62,3.13,1.17,1.33,2.7,0.37,0.21,1.25,3.6,2.13,2.35,1.09,1.87,4.03,2.01,0.22,2.15,2.23,1.57,0.89,1.35,0.82,2.4,1.93,1.44,3.09,2.6,3.44,1.71,0.45,1.45,1.45,0.41,1.73,7.02,3.06,2.25,1.03,1.09,1.53,2.13,3.63,6.17,1.89,1.01,0.98,0.6,1.81,2.03,0.96,1.96,1.07,2.64,2.57,1.25,2.72,3.25,1.95,4.46,2.81,2.45,2.54,3.72,2.09,1.97,3.95,,,,,,,,,,,,,
June,,,,,,,,,,,3.2,2.65,2.67,4.02,2.8,1.85,2.11,1.46,2.62,0.53,2.09,1.89,1.65,0.71,2.11,0.86,2.9,2.13,1.2,1.23,1.5,2.9,2.39,3.33,0.8,4.58,3.26,2.39,0.65,2.99,2.87,1.4,5.31,0.67,2.93,1.06,2.03,2.15,0.66,1.52,2.26,0.35,0.79,0.34,2.42,0,1.01,2.67,2.57,1.4,0.39,3.35,1.32,2.26,0.99,2.98,3.02,0.88,0.67,1.9,0.78,1.35,0.2,1.8,2.23,2.73,2.25,1.43,1.57,0.36,2.22,0.99,3.26,1.55,3.6,3.83,,,,,,,,,,,,,
July,,,,,,,,,,,4.73,1.57,4.51,3.26,3.19,0.16,3.13,0.8,5.13,2.66,2.61,2.47,1.84,2.74,1.68,2.1,0.95,0.86,0.65,0.56,2.3,2,0.81,3.11,2.89,1.16,0.68,3.81,1.88,2.23,2,0.04,7.09,0.91,3.68,4.69,1.44,1.72,2.59,3.85,3.28,0.51,4.42,1.44,5.02,2.25,2.61,3.61,1.94,1.92,2.63,3.5,1.81,1.19,1.47,0.55,4.53,3.54,2.08,5.25,3.18,1.75,1.62,1.09,2.48,1.5,1.12,2.29,0.73,1.49,3.16,0.54,0.33,3.27,2.22,0.34,,,,,,,,,,,,,
August,,,,,,,,,,,0.44,3.88,2.75,0.87,1.99,2.19,1.52,1.36,1.41,2.37,2.12,5.5,2.46,2,2.15,2.49,1.43,3.72,2.84,3.49,2.77,1.8,3.45,3,2.04,4.82,0.91,2.04,3.45,1.78,5.62,1.23,6.36,0.93,2.11,2.93,3.79,5.32,1.33,1.95,0.99,2.73,2.75,1.95,3.22,2.14,1.45,4.16,2.65,1.82,2.11,3.97,3.31,0.28,2.1,1.19,0.2,0.37,2.86,2.8,0.05,3.43,3.55,1.54,2.58,1.92,5.1,0.82,3.54,1.59,4.08,3.89,4.01,3.04,2.95,0.52,,,,,,,,,,,,,
September,,,,,,,,,,2.85,2.89,1.74,3.09,4.28,0.85,3.39,2.33,2.46,0.78,1.88,0.9,1.01,2.91,0.87,3.43,1.14,5,2.34,0.64,1.08,0.46,1.99,2.65,2.59,1.62,1.61,0.59,0.5,1.98,2.55,0.5,1.12,0.53,2.12,0.96,1.07,1.04,2.3,6.3,1.65,2.15,1.83,1.43,2.15,4.17,3.59,0.55,4.65,0.92,0.31,2.89,1.96,2.94,2.5,1.95,4,3.58,2.21,1.79,1.05,0.44,0.91,1.42,2.29,2.26,1.68,3.37,2.27,2.79,2.01,3.45,2.4,1.2,2.93,2.59,0.49,,,,,,,,,,,,,
October,,,,,,,,,,0.98,4.82,1.95,5.56,2.09,0.77,2.21,4.49,2.01,0.49,2.26,0.98,6.43,1.54,1.77,3.85,2.03,2.12,1.26,3.62,2.18,2.47,1.03,2.72,7.24,0.44,1.37,4.51,5.09,1.98,3.33,2.67,1.92,3.04,3.37,1.63,3.01,4.61,3.3,0.95,2.42,1.82,1.22,0.87,5.2,5.03,2.52,2.82,1.58,4.88,4.24,1.84,0.62,4.12,4.04,1.22,3.5,1.31,2.37,2.6,2.26,3.15,2.45,1.95,1.35,4.15,2.96,0.36,0.26,2.77,6.08,0.82,0.66,3,1.73,3.2,1,,,,,,,,,,,,,
