GREENOCK W.W. ( HOLE GLEN ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS258746,Long,-4.790175,Lat,55.932809,Elevation,603,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,-999,11.22,11.35,8.33,8.84,6.05,11.35,7.33,1.49,5.22,0.52,7.92,7.92,10.9,6.36,6.21,5.29,5.33,5.72,8,4.83,6.92,2.78,9.23,1.64,5.11,2,6.47,9.15,8.07,3.59,6.9,10.28,6.33,4.51,7.88,4.64,7.49,7.86,7.37,6.24,5.41,6.12,5.75,5.98,10.78,3.45,8.34,5.22,9.12,12.48,7.22,9.07,7.61,5.83,10.68,9.31,13.46,3.03,11.96,7.74,11.06,8.66,11.09,3.95,6.59,9.72,9.87,4.54,4.1,1.1,10.82,8.39,11.09,4.77,11.77,8.32,10.89,10.98,5.98,7.48,8.95,5.35,8.86,5.49,4.75,9.63,8.1,2.34,5.24
February,,-999,7.09,1.3,1.95,2.52,6.98,7.26,3.99,3.14,7.11,4.98,6.64,7.48,7.55,7.2,2.82,4.88,1.49,4.36,1.67,2.29,2.57,5.7,12.85,0.59,4.02,4.83,6.29,4.41,3.96,2.05,1.98,10,5.86,5.27,5.15,4.38,3.77,3.72,8.7,9.79,6.18,4.82,6.72,9.91,7.53,1.79,11.15,1.87,10.76,2.56,7.41,7.7,1.5,5.01,7.63,4.6,5.73,3.34,0.7,6.45,0.01,6.18,1.24,9.25,3.99,6.2,4.72,8.58,2.77,5.95,2.43,9.05,3.22,10.98,4.38,1.92,8.67,8.59,8.18,4.56,3.47,4.23,7.47,4.23,2.27,4.55,4.43,2.91,6.93
March,,5.46,5.58,2.75,5.91,2.28,6.37,4.38,2.98,6.81,4.43,6.11,6.84,2.62,4.5,5.16,4.87,2.27,3.44,3.57,5.62,4.24,1.47,2.92,5.45,5.33,8.05,6.86,2.87,5.04,0.51,3.11,5.01,10.53,3.29,6.41,5.46,5.63,5.97,2.17,3.38,2.14,7.05,7.49,6.86,4.5,2.94,3.35,3.11,5.09,7.12,10.73,3.2,3.31,1.66,3.42,6.49,5.44,6.69,1.57,5.69,2.16,2.7,4.37,3.52,2.46,4.44,1.81,8.02,4.1,5.23,3.02,5.53,4.83,1.72,5.76,3.68,4.94,8.6,3.52,4.81,5.18,5.55,2.3,4.93,2.67,3.91,7.3,1.89,4.37,4.04
April,,5.47,1.73,0.44,3.59,2.56,2.98,4.63,3.55,2.43,5.36,2.46,3.13,3.89,2.4,3.82,3.39,3.33,3.3,4.27,2.18,3,1.93,2.38,2.38,4.13,2.61,3.52,5.02,4.81,3.75,4.53,2.74,2.26,7.12,4.79,2.02,3.94,1.81,5.33,5.42,4.93,3.54,5.66,4.16,4.96,5.21,2.04,1.22,3.26,2.65,2.35,4.34,5.11,3.81,7.23,3.2,4.6,3.45,1.55,2.97,2.88,5.65,3.96,4.07,4.33,1.96,3.37,1.3,3.71,3.6,2.83,3.18,6.38,4.77,2.47,3.45,9.96,4.45,10.13,4.79,4.46,3.43,2.98,3.74,4.67,2.48,3.44,2.62,5.17,7.58
May,,1.43,3.68,3.98,2.91,4.63,0.83,3.95,3.64,3.37,2.37,3.78,4.08,4.19,5.59,3.65,4.2,1.13,4.9,3.42,3.36,2.7,5.97,3.63,3.98,0.23,0.84,3.51,2.48,4.37,4.57,1.91,2.81,3.91,3.58,3.25,6.47,6.16,2.81,4.12,3.3,4.41,3.74,5.07,2.72,1.24,5.48,4.47,4.35,1.29,7.39,4.23,6.03,3.17,5.7,9.47,3.56,4.68,2.23,5.39,4.18,6.5,2.82,3.84,4.57,0.66,3.19,2.12,4.51,1.62,0.87,2.44,3.96,4.14,6.86,6.02,1.77,5.47,2.09,3.12,2.04,2.29,2.3,3.7,4.32,4.99,4.48,2.8,5.08,1.6,3.45
June,,2.53,8.32,3.43,2.01,3.78,5.14,5.16,3.62,6.13,2.9,6.18,5.24,3.94,1.6,2.29,1.78,1.28,3.71,1.84,7.06,1.88,5.19,1.87,3.56,2.63,5.1,7.77,3.53,2.33,3.91,4.29,1.9,2.92,2.95,1.32,2.03,5.37,3.34,3.53,3.34,4.49,6.8,5.13,1.54,2.11,2.17,4.09,2.4,6.96,2.73,0.92,3.39,1.85,3.95,1.9,4.12,5.41,7.82,4.37,5.02,7.98,1.95,3.17,3.85,3.92,2.46,3.87,8.07,2.15,1.31,1.63,3.25,5.04,6.45,4.88,4.73,4.61,6.78,1.75,2.93,2.64,5.36,1.47,5.35,4.08,3.62,2.84,4.45,4.18,3.79
July,,4.31,5.21,6.69,3.06,2.81,3.86,5.35,1.58,5.73,3.79,7.29,7.32,3.36,7.26,3.76,4.31,4.36,6.02,2.86,5.39,2.06,2.93,5.78,3.61,5.95,5.86,3.46,2.1,4.64,4.07,2.26,4.75,5.81,3.6,4.49,4.1,2.83,4.86,5.42,4.71,4.07,3.04,2.06,2.08,4.96,3.32,3.01,4.82,1.96,4.84,5.84,4.35,6.04,4.86,2.16,3.8,5.68,5.31,6.47,5.83,5.3,3.92,4.54,3.87,3.39,9.39,5.23,5.24,5.96,3.27,3.83,5.74,3.53,5.69,5.45,4.95,5.44,7.27,3.72,6.67,4.2,3.87,7.47,4.56,1.18,5.72,6.37,7.53,7.72,6.36
August,,4.92,5.7,7.18,5.8,5.49,6.46,8.7,3.77,6.44,2.94,6.75,4.33,7.26,4.07,3.81,4.09,4,3.4,7.76,4.12,7.15,9.15,5.63,5.68,9.07,3.32,7.24,7.99,2.3,5.6,7.22,3.95,10.41,6.57,6.89,4.83,7.31,4.81,4.17,9.7,5.61,6.49,1.97,6.19,3.78,4.51,5,4.74,4.24,7.23,7.53,4.07,8.19,4.96,4.88,5.77,8.13,5.87,10.11,8.29,2.87,3.97,4.18,6.52,3.26,4.47,4.26,3.46,2.22,3.34,5.79,7.01,10.46,5.1,2.97,3.77,0.03,9.34,6.21,8.72,5.3,6.46,6.57,6.56,1.39,6.08,5.07,5.75,2.08,4.5
September,,3.08,10.53,7.77,8.6,5.48,3.85,3.01,7.55,12.48,4.76,4.38,5.09,4.49,5.85,9.41,9.2,6.03,2.33,2.73,8.39,8.54,9.62,5.07,0.22,3.24,5.83,5.95,7.4,6.56,5.42,5.4,5.3,5.43,6.43,3.19,3.48,2.15,8.65,2.63,2.28,2.83,3,2.59,3.98,1.91,2.47,5.23,7.77,6.46,4.48,3.69,4.63,12.78,8.23,4.37,5.48,9.91,5.7,3.25,5.13,2.1,6.22,0.83,7.04,9.07,4.49,4.99,5.64,3.4,5.28,2.05,9,6.5,6.98,7.49,8.98,7.31,10.57,3.51,12.2,5.92,5.24,9.13,10.1,6.54,5.52,4.32,5.82,1.97,4.41
October,,6.92,6.43,9.14,13.2,8.59,7.59,10.41,9.24,3.77,0.69,3.49,5.39,8.01,9.64,5.17,5.13,3.87,2.87,5.57,5.19,6.53,4.03,8.93,4.78,4.64,3.38,4.03,4.89,5.01,8.31,6.61,3.73,11.82,3.57,4.91,8.72,6.41,1.56,9.76,4.54,4.91,8.16,3.76,3.32,3.39,9.54,12.99,10.59,1.18,4.26,7.1,3.8,10.1,4.54,6.63,9.62,8.69,11.23,10.21,10.97,7.5,8.17,3.51,10.33,13.27,7.92,3.57,12.06,3.73,7.84,7.25,11.77,15.15,8.01,8.83,0.6,4.32,12.72,9.18,8.29,2.24,7.72,6.04,12.15,6.36,3.94,6.85,6.54,7.76,4.49
