VAGASTIE AQUEDUCT,,,,,,,,,,
Grid ref,NC518272,Long,-4.523886,Lat,58.208593,Elevation,770,ft,,
Station no,5800/9/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.75
February,,,,,,,,,1.65,5.35
March,,,,,,,,,1.75,1.63
April,,,,,,,,,3.85,3.01
May,,,,,,,,,1.83,1.36
June,,,,,,,,,3.81,3.82
July,,,,,,,,,5,3.81
August,,,,,,,,,2.3,5.88
September,,,,,,,,2.23,2.14,1.8
October,,,,,,,,5.52,5.78,3.24
November,,,,,,,,1.9,7.33,3.06
December,,,,,,,,4.25,3.38,5.17
Total,,,,,,,,,,41.88
,,,,,,,,,,
1959 np Jan High Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5800/9/3,,,,,,,,,
Midas,14332,,,,,,,,,
Hyd Stn,751751,,,,,,,,,
