"VAGASTIE AQUEDUCT",,,,,,,,,,,,
Grid ref,NC518272,Long,-4.523886,Lat,58.208593,,,,,,,
Station no,5800/9/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,11.50,3.75,,
February,,,,,,,,,1.65,5.35,,
March,,,,,,,,,1.75,1.63,,
April,,,,,,,,,3.85,3.01,,
May,,,,,,,,,1.83,1.36,,
June,,,,,,,,,3.81,3.82,,
July,,,,,,,,,5.00,3.81,,
August,,,,,,,,,2.30,5.88,,
September,,,,,,,,2.23,2.14,1.80,,
October,,,,,,,,5.52,5.78,3.24,,
November,,,,,,,,1.90,7.33,3.06,,
December,,,,,,,,4.25,3.38,5.17,,
Total,,,,,,,,,50.32,41.88,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.90,50.32,41.88,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
