CAMBRIDGE SIDNEY STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL450585,Long,0.120523,Lat,52.205656,Elevation,83,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.17,1.22,2.35,1.73,1.54,1.17,0.43,2.2,1.77,1.1,2.15,1.71,2.43,1.1,1.38,0.18,0.94,1.27,1.41,1.05,0.99,1.94,1.14,0.51,0.51,1.47,1.64,0.63,1.49,1.56,1.94,0.82,1.64,0.76,1.95,2.35,0.45,0.45,1.68,1.09,1.04,2.62,1.16,0.72,0.65,1.26,1.41,2.86,1.73,1.25,2.71,0.87,1.25,1.93,3.39,1.92,1.82,1.88,1.27,2.42,1.23,,,,,
February,1.23,2.46,1.26,0.92,1.87,0.37,1.29,0.88,1.72,0.67,0.59,1.82,2.05,0.78,2.46,1.28,1.92,1.04,1.99,0.75,1.63,0.23,0.53,0.93,1.41,0.77,0.03,1.67,1.93,1.12,0.25,0.53,1.91,0.63,1.06,3.27,0.65,1.1,0.4,2.16,0.96,1.65,1.18,0.91,0.21,2.05,0.58,1.04,0.64,0.87,1.67,3.22,0.57,0.75,2.69,0.3,0.34,1.23,1.91,0.72,2.41,,,,,
March,1.6,0.91,1.35,1.96,1.82,1,0.94,1.76,0.97,0.77,0.34,1.81,1.57,0.86,0.76,0.44,0.96,1.54,0.83,0.55,0.66,1.14,0.72,1.97,0.86,1.96,1.42,0.79,0.24,0.63,1.44,2.85,2.1,1.26,0.88,0.66,1.77,0.76,2,1.19,1.86,1.62,0.84,1.72,2.76,0.6,1.25,2.05,1.4,2.73,1.19,2.88,1.69,0.69,1.98,1.33,0.62,1.3,1.64,0.73,0.85,,,,,
April,0.57,1.21,2.56,1.05,1.68,0.45,2.07,1.62,0.75,1.14,0.85,1.78,2.33,1.53,2.36,1.93,0.94,2.57,2.25,1.05,1.56,0.87,1.25,1.34,1.93,0.5,0.95,0.9,0.08,1.57,0.83,0.71,1.39,1.2,2.22,0.67,2.18,0.97,1.44,0.67,1.38,0.9,2.54,2.2,1.68,2.39,0.69,0.15,1.34,0.62,0.77,1.15,1.28,3.29,2.01,3.41,1.22,2.26,1.17,2.6,1.7,,,,,
May,1.22,1.29,1.69,0.42,3.12,0.64,0.74,2.53,1.41,0.99,1.92,0.49,1.38,3.58,3.04,0.68,2.13,1.57,1.08,0.74,3.13,3.07,1.69,0.55,3.74,1.49,2.79,1.26,0.72,1.98,1.06,0.34,1.64,2.41,1.51,1.31,0.85,3.65,3.19,1.4,1.16,1.33,3.03,1.29,1.43,2.22,0.73,1.23,1.91,0.91,1.52,1.65,1.26,2.34,0.23,1.27,0.74,1.6,1.07,3.99,1.79,,,,,
June,1.71,1.97,0.56,1.46,1.09,0.83,3.52,2.19,1.95,1.07,3.27,1.62,0.33,2.76,4.77,2.52,2.71,2.17,6.39,1.25,2.28,0.41,0.67,1.4,2.3,1.9,1.64,3.44,0.74,1.92,0.87,2.07,2.15,2.47,1.17,2.24,1.77,1.96,3.52,0.85,3.16,3.74,2.18,1.27,3.21,1.56,2.57,2.69,1.61,2.08,2.17,1.75,1.76,1.63,1.35,1.36,0.65,0.89,0.62,2.03,0.41,,,,,
July,2.95,1.99,3.57,0.19,0.52,1.69,2.4,4.89,2.07,0.58,5.15,0.78,3.17,0.92,3.21,3.43,1.67,2.13,2.48,2.31,0.57,3.18,0.81,3.38,4.94,3.05,3.43,2.62,3.73,2.83,4.07,0.77,0.45,1.42,1.39,0.94,1.67,0.87,5.37,2.45,1.3,0.6,2.05,2.95,2.65,1.79,0.71,2.11,0.91,1.32,3.56,1.53,4.51,2.6,3.21,2.83,0.31,5.78,1.87,3.98,1.6,,,,,
August,3.9,2.28,1.9,2.08,1.05,1.55,0.53,1.23,2.87,1.1,1,1.66,4.15,3.55,6.12,1.44,5.36,1.58,0.39,1.15,1.03,2.76,1.17,2,1.82,1.57,3.5,2.83,3.76,2.43,5.06,2.41,3.04,2.1,0.57,2.29,1.73,2.86,3.26,1.63,2.96,0.79,1.81,2.43,1.81,1.87,0.73,7.36,1.52,1.81,3.31,2.18,2.85,0.81,2.12,0.92,1.01,2.7,2.88,2.4,2.01,,,,,
September,0.47,1.94,1.2,1.73,2.61,1.14,4.44,1.07,2.07,2.82,2.34,4.12,1.83,0.82,2.35,2.64,1.71,1.92,3.73,1.82,2.85,0.86,1.63,0.86,2.87,0.13,1.13,3.29,0.66,1.72,0.84,4.42,3.47,0.18,1.91,0.44,1.36,0.71,2.09,1.35,2.18,0.68,0.62,1.4,1.76,1.08,1.31,1.74,1.57,0.84,1.24,0.9,1.68,6.62,0.62,2.82,1.32,2.09,2.11,2.35,2.61,,,,,
October,4.13,1.35,2.23,2.63,1.53,2.05,0.82,2.94,2.23,1.76,3.07,1.58,1.05,1.66,0.92,4.9,2.39,4.24,1.97,1.1,3.61,1.96,1.39,0.65,2.64,1.25,3.91,4.08,3.15,1.89,2.05,2.87,0.92,2.04,1.6,1.82,2.36,1.1,4.61,0.95,1.34,3.01,2.25,1.06,3.49,2.82,2.38,1.53,2.58,2.14,0.85,1.77,3.21,1.27,0.42,0.59,1.12,0.46,3.84,3.52,2.64,,,,,
November,1.19,1.33,0.19,0.65,1.92,0.46,0.92,2.51,2.23,1.61,3.45,2.27,2.72,3.92,0.8,1.62,1.4,2.2,1.99,0.57,2.36,2.24,1.39,2.59,0.86,1.43,1.31,1.5,1.99,2.99,2.44,0.67,0.88,1.63,2.89,1.6,1.11,1.1,2.02,1.16,1.54,3.07,2.36,0.72,0.41,2.16,2.35,1.59,1.55,2.09,2.03,2.44,0.97,1.96,1.16,0.47,1.59,0.95,1.15,2.21,1.18,,,,,
December,0.93,1.98,1.98,3.1,3.05,2.24,0.58,2.38,0.36,1.73,1.07,3.75,1.7,0.91,0.51,2.11,2.82,1.77,1.25,1.67,0.84,2.87,0.87,1.01,1.1,0.65,2.25,0.88,1.04,1.37,1.48,2.33,1.09,1.87,1.52,1.91,1.82,1.04,1.07,1.6,0.59,2.11,2.71,1.63,2.54,3.27,3.44,1.77,0.55,4.85,2.93,1.88,0.52,1.84,3.36,1.69,0.96,1.36,1.76,2.19,1.31,,,,,
Total,22.07,19.93,20.84,17.92,21.8,13.59,18.68,26.2,20.4,15.34,25.2,23.39,24.71,22.39,28.68,23.17,24.95,24,25.76,14.01,21.51,21.53,13.26,17.19,24.98,16.17,24,23.89,19.53,22.01,22.33,20.79,20.68,17.97,18.67,19.5,17.72,16.57,30.65,16.5,19.47,22.12,22.73,18.3,22.6,23.07,18.15,26.12,17.31,21.51,23.95,22.22,21.55,25.73,22.54,18.91,11.7,22.5,21.29,29.14,19.74,,,,,
