"LOCH CRAIG HEAD EDINBURGH WW NO 2",,,,,,,,,,,,
Grid ref,NT167176,Long,-3.318377,Lat,55.445157,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.00,3.60,4.40,5.72,7.46,2.21,7.05,1.99,4.37,7.52,,
February,4.05,2.27,2.95,6.47,4.69,2.45,1.35,2.93,3.06,2.57,,
March,2.09,3.25,4.05,12.18,4.91,7.78,2.93,3.20,6.64,6.73,,
April,2.73,3.31,4.00,1.35,6.73,4.50,1.55,2.20,1.78,4.51,,
May,6.62,3.27,2.70,4.50,3.45,3.73,7.15,4.90,3.77,4.05,,
June,8.45,5.78,1.98,2.62,4.82,2.53,3.10,8.43,5.40,3.60,,
July,5.73,1.68,4.62,6.56,5.63,3.48,3.70,4.35,4.36,6.10,,
August,7.35,7.75,3.60,11.01,8.03,7.78,9.73,7.53,6.97,3.60,,
September,7.43,8.32,4.83,6.36,5.30,3.96,2.11,1.35,9.30,3.51,,
October,8.47,7.57,4.37,14.50,3.58,4.42,9.40,11.80,2.87,13.69,,
November,5.72,4.13,6.80,1.53,2.58,6.38,5.40,5.47,4.90,2.97,,
December,16.18,5.53,5.81,6.08,5.76,4.04,2.38,7.04,5.12,7.20,,
Total,81.82,56.46,50.11,78.88,62.94,53.26,55.85,61.19,58.54,66.05,,
Calc annual,81.82,56.46,50.11,78.88,62.94,53.26,55.85,61.19,58.54,66.05,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
