KYLESTROME,,,,,,,,,,
Grid ref,NC219344,Long,-5.037518,Lat,58.262105,Elevation,130,ft,,
Station no,5804/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.68,8.63,,7.2,4.05
February,,,,,,4.89,3.95,6.56,2.11,3.71
March,,,,,,0.62,4.65,,3.04,1.51
April,,,,,,3.52,2.47,3.45,4.18,4.95
May,,,,,,4.81,3.29,5.85,2.72,1.32
June,,,,,,5.4,4.5,1.99,5.83,3.2
July,,,,,,7.43,4.69,3.11,7.56,2.43
August,,,,,,6.75,6.52,6.98,4.72,4.71
September,,,,,7.31,3.05,6.37,3.24,3.56,3.7
October,,,,,10.01,6.49,9.38,,8.06,2.6
November,,,,,2.98,7.46,3.85,,8.54,2.51
December,,,,,7.61,7.14,7.6,,5.05,8.33
Total,,,,,,63.24,65.9,,62.57,43.02
,,,,,,,,,,
1955 -999 Deleted,,,,,,,,,,
BR 1956 NP Late,,,,,,,,,,
BR 1957 NP Late,,,,,,,,,,
NR 1958 NP too much Est JMOND Deleted,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5804/8,,,,,,,,,
Midas,14300,,,,,,,,,
Hyd Stn,745324,,,,,,,,,
