"BROMLEY (BISHOPS AVENUE)",,,,,,,,,,,,
Grid ref,TQ411690,Long,0.027087,Lat,51.402486,,,,,,,
Station no,398/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.59,1.93,1.11,1.36,2.80,3.61,1.23,1.95,2.38,1.87,,
February,6.97,1.16,1.60,2.17,1.57,0.41,2.69,2.48,0.09,1.89,,
March,2.83,2.82,0.50,1.81,1.17,1.07,0.80,1.81,1.77,1.83,,
April,2.64,1.12,2.25,0.30,0.30,1.32,0.23,1.48,1.95,0.50,,
May,2.31,2.09,1.77,2.13,4.13,0.45,1.09,1.74,1.03,1.84,,
June,1.13,2.18,1.52,4.04,1.97,3.09,1.12,4.84,0.93,1.30,,
July,2.39,0.77,3.50,2.68,0.08,3.97,2.90,1.78,0.95,3.12,,
August,3.17,3.61,1.45,3.25,1.48,3.08,3.09,3.28,1.20,4.71,,
September,2.29,3.40,2.47,1.74,2.27,1.96,2.73,4.89,0.09,3.88,,
October,0.74,2.70,4.51,1.76,3.46,1.60,1.64,3.03,2.09,5.52,,
November,5.10,3.72,1.12,4.91,0.56,0.61,2.87,1.70,2.60,3.92,,
December,2.44,2.21,0.88,1.59,1.90,2.68,1.99,2.64,3.68,2.64,,
Total,34.60,27.71,22.68,27.74,21.69,23.85,22.38,31.62,18.76,33.02,,
Calc annual,34.60,27.71,22.68,27.74,21.69,23.85,22.38,31.62,18.76,33.02,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
