"DARTFORD, TOWER ROAD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,410,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,2.33,0.98,1.89,
February,,,,,,,,,1.26,0.41,0.90,
March,,,,,,,,,2.00,0.01,1.25,
April,,,,,,,,,1.65,1.28,1.38,
May,,,,,,,,,2.19,1.04,3.38,
June,,,,,,,,,2.37,0.89,0.96,
July,,,,,,,,,1.88,2.26,1.70,
August,,,,,,,,,2.40,2.51,2.92,
September,,,,,,,,,0.61,0.12,2.85,
October,,,,,,,,,3.32,2.59,1.01,
November,,,,,,,,1.99,1.88,4.30,4.94,
December,,,,,,,,3.43,2.97,4.24,1.52,
Total,,,,,,,,,24.86,20.63,24.70,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.42,24.86,20.63,24.70,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,
