CORYTON,,,,,,,,,,,,
Grid ref,TQ746823,Long,0.514800,Lat,51.512646,,,,,,,
Station no,1250/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,0.85,1.62,1.43,2.00,,
February,,,,,,,2.24,2.00,0.04,1.25,,
March,,,,,,,0.86,0.86,1.13,0.90,,
April,,,,,,1.35,0.15,1.55,1.89,0.33,,
May,,,,,,0.23,1.37,1.55,0.92,2.14,,
June,,,,,,1.56,1.25,4.50,0.74,1.65,,
July,,,,,,3.98,2.70,2.49,1.27,2.12,,
August,,,,,,2.67,2.61,3.37,0.71,3.02,,
September,,,,,,1.52,2.14,5.22,0.13,3.62,,
October,,,,,,1.17,1.25,2.39,1.85,5.04,,
November,,,,,,0.33,2.18,1.24,1.97,2.94,,
December,,,,,,1.68,1.42,2.66,2.52,1.84,,
Total,,,,,,,19.02,29.45,14.60,26.85,,
Calc annual,0.00,0.00,0.00,0.00,0.00,14.49,19.02,29.45,14.60,26.85,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
