MAIDENHEAD COOKHAM VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU896854,Long,-0.70887,Lat,51.560374,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,3.23,2.44,3.49,2.71,1.18,1.73,4.04,2.9,1.56,3.7,1.05,4.47,1.6,3.3,0.36,1.25,1.11,2.51,2.34,2.39,3.4,2.45,0.87,1.03,2.45,1.6,0.61,1.6,2.76,2.26,0.83,1.91,0.76,2.47,3.13,0.76,0.72,2.39,2.44,0.89,3.73,0.63,1.83,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1.41,3.58,1.43,1.41,2.03,1.95,1.15,1.49,1.39,1.23,1.11,1.88,1.67,1.7,3.49,2.64,2.82,1.62,2.98,1.31,2.25,0.55,0.56,0.98,2.23,0.9,0,0.9,2.8,1.76,0.14,0.43,2.73,1.6,2.09,4.65,1.22,1.1,0.72,2.42,0.51,1.8,1.53,1.41,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.03,1.54,2.4,1.54,1.47,1.86,1.15,2.14,2.34,0.52,0.55,2.91,2.5,0.9,0.93,0.88,1.89,1.46,0.91,1.51,1.63,1.64,1.64,3.04,1.55,1.75,1.35,0.88,0.37,1.33,1.47,3.43,3.46,0.9,0.63,0.78,1.33,1.56,2.7,1.25,3.14,1.38,1.11,3.1,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.66,1.76,2.57,1.63,1.46,0.41,2.57,1.45,0.41,1.55,1.03,2.36,2.97,2.98,3.41,2.04,0.7,3.51,1.17,1.4,1.47,1.36,1.14,2.36,2.08,1.34,0.85,0.81,0.05,1.56,1.26,0.47,2.01,1.41,2.33,0.89,2.01,0.7,2.23,1.29,1.63,0.49,2.85,3.87,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.57,1.68,1.69,0.68,3.26,0.98,0.54,2.56,1.64,0.87,1.92,0.64,2.19,4.39,3.17,0.32,1.06,1.62,1.92,0.52,2.68,4.01,1.39,1.01,2.92,1.18,2.63,1.01,0.94,1.61,0.31,0.22,1.45,2.03,1.44,1.04,0.56,2.29,3.17,2.71,0.69,2.44,1.76,1.7,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,2.62,4.14,1.2,0.72,1.57,0.66,2.74,2.51,1.3,1.56,3.48,2.21,0.88,2.58,5.76,3.25,2.54,3.07,0.89,2.48,2.29,1.13,1.18,1.88,0.78,2.49,1.72,1.89,0.47,2.12,0.42,1.9,2.86,1.13,2.02,2.04,1.18,3.46,6.69,0.71,3.49,3.08,2.34,1.06,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,1.99,1.71,3.6,1.73,0.86,1.47,2.66,2.76,1.77,1.59,5.53,1.26,3,0.34,3.76,5.49,3.93,1.88,2.81,3.1,0.4,2.34,0.84,3.73,1.4,5.18,2.77,2.53,2.41,3.07,4.59,1.07,0.23,0.87,1.23,0.59,4.48,1,3.67,3.69,0.51,0.12,2.65,3.55,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,4.77,2.26,1.68,3.95,1.6,1.74,1.17,2.67,2.15,1.13,1.43,2.21,2.75,5.62,6.43,0.56,5.39,1.78,1.06,1.44,1.17,0.72,1.54,2,2.51,1.94,3.83,4.08,1.62,3.28,2.67,2.32,2.87,1.19,0.74,3.33,2.22,4,2.84,2.26,2.16,0.87,1.94,3.47,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.41,4.43,2.03,3.49,4.36,1.96,4.55,0.94,2.41,2.91,1.69,4.35,1.36,1.23,2.27,4.31,2.31,2.08,3.75,1.4,4.96,1.64,2.55,0.83,1.67,0.86,1.23,4.1,1.09,1.81,1.03,5.68,2.56,0.55,2.22,0.81,1.21,0.66,2.12,1.62,1.5,1.05,0.69,2.19,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,4.68,1.57,2.35,2.81,1.42,2.69,1.52,4.13,2.9,2.79,4.85,1.49,1.94,2.19,1.13,4.75,2.76,5.5,1.4,1.1,4.07,3.77,1.59,1.23,3.6,1.18,6.8,3.59,3.67,3.83,2.79,2.56,0.91,2.62,2.04,3.03,2.07,1.4,7.55,1.83,1.11,5.2,4.43,2.24,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,2.82,1.73,0.97,1.38,2.97,1.2,0.45,2.97,1.88,2.5,3.21,4.07,4.13,3.57,0.4,2.07,2.62,2.97,2.72,2.03,2.83,2.92,2.96,3.85,1,1.99,1.87,1.98,2.35,3.98,3.41,1.1,0.8,2.33,3.61,1.87,0.46,1.92,1.72,2.09,2.25,3.41,2.17,0.81,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,1.49,2.46,1.67,4.92,3.18,2.39,0.99,4.6,0.41,1.5,0.71,5.07,1.71,1.63,0.78,3.64,3.37,2.71,0.73,2.63,1.3,4.47,1.48,1.14,1.44,0.57,3.5,1.53,2.33,2.18,2.12,3.82,2.65,2.48,1.19,2.99,3.36,1.21,1.95,2.37,0.96,2.95,3.55,2.3,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,30.09,24.03,27.75,26.89,18.49,21.22,32.26,21.5,19.71,29.21,29.5,29.57,28.73,34.83,30.31,30.64,29.31,22.85,21.26,27.44,27.95,19.32,22.92,22.21,21.83,28.15,23.91,19.7,29.29,22.47,23.83,24.44,17.87,22.01,25.15,20.86,20.02,37.75,24.68,18.84,26.52,25.65,27.53,29.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
