TORKSEY VILLAGE,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK837788,Long,-0.746,Lat,53.300,Elevation,18,ft,,,,,,,,,,,,,,,,,
Station no,2583,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945
January,,2.75,1.78,1.76,1.22,2.56,1.36,3.56,1.72,2.75,2.16,0.86,1.70,1.52,1.52,4.08,3.42,1.60,4.09,1.86,2.60,2.16,2.87,2.25,1.76
February,,2.44,4.22,0.83,1.84,1.52,1.58,1.54,0.57,0.56,2.00,0.86,1.79,0.51,2.32,3.09,2.05,1.16,0.78,1.91,2.58,0.71,0.59,1.86,1.55
March,,1.84,1.32,1.12,0.79,0.52,1.95,1.76,0.14,1.92,0.30,1.31,2.84,1.91,0.46,1.06,2.06,0.24,1.41,1.75,3.27,2.08,0.40,0.54,0.77
April,,2.30,1.17,1.51,1.85,2.17,1.87,0.90,0.84,2.53,2.69,1.72,0.95,2.10,3.02,1.62,2.38,0.07,1.50,1.43,1.00,0.67,0.98,1.87,1.25
May,,2.49,2.10,2.33,3.21,2.21,1.38,1.87,0.69,1.31,2.18,5.16,1.71,0.89,0.38,0.93,2.91,2.80,0.91,0.49,1.58,3.12,2.99,2.01,1.50
June,,0.99,1.03,1.18,0.17,3.02,2.83,1.67,1.02,2.66,3.81,0.73,1.30,1.23,3.18,4.01,2.26,1.47,2.56,0.99,0.33,1.73,1.76,2.13,2.38
July,0.38,4.14,2.68,2.08,1.05,1.57,2.66,0.89,1.13,3.31,3.78,2.59,1.79,1.24,0.91,6.01,3.20,3.14,4.43,4.14,3.00,1.35,0.54,1.76,1.87
August,3.40,3.08,2.48,1.97,2.52,2.58,3.90,1.92,2.18,3.09,4.33,2.07,0.35,1.68,1.07,1.97,0.47,1.64,2.57,0.58,3.20,2.35,1.37,3.46,1.92
September,0.53,2.38,2.12,2.14,2.91,0.87,3.30,0.31,0.58,4.73,3.41,1.44,1.85,1.03,4.16,1.75,1.00,2.80,0.69,0.90,0.45,1.09,3.48,2.96,0.95
October,1.30,1.26,1.72,3.95,2.55,2.08,1.34,3.78,2.80,2.12,0.65,3.22,4.10,0.98,3.22,2.46,1.67,2.06,3.60,3.83,3.10,1.76,1.87,2.35,
November,1.66,0.91,1.87,1.50,2.46,2.49,2.68,2.55,4.09,2.63,2.63,1.17,1.81,1.89,5.74,2.54,1.38,2.08,3.63,3.84,3.09,1.60,1.53,3.49,
December,1.71,2.86,2.56,2.19,1.49,0.55,2.18,1.48,4.10,2.01,1.20,0.73,0.40,4.05,2.82,1.60,2.64,3.64,1.75,1.90,0.31,1.85,0.63,1.25,
Total,,27.44,25.05,22.56,22.06,22.14,27.03,22.23,19.86,29.62,29.14,21.86,20.59,19.03,28.80,31.12,25.44,22.70,27.92,23.62,24.51,20.47,19.01,25.93,
,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/110,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/182,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/265,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# Bracketed November-December 1945 figures omitted. These are estimates produced after the death of the observer.,,,,,,,,,,,,,,,,,,,,,,,,,
"# The observer, Margaret Burtt, made her first observations at Welbourn in 1876.",,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,
# Readings resumed from Torksey Pumping Station in 1946.,,,,,,,,,,,,,,,,,,,,,,,,,
