RICHMOND-THE-OLD-PALACE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ176749,Long,-0.3086,Lat,51.4611,Elevation,40,ft,,,,,,,,,,,,
Station no,RR7758,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.15,2.66,1.15,3.22,0.65,1.73,0.71,1.7,1.26,3.27,2.46,0.52,4.15,1.15,,,
February,,,,1,2.35,0.79,1.66,1.17,1.14,0.28,2.84,1.31,1.44,0.83,2.4,3.35,3.37,,,
March,,,,2.27,1.29,3.61,1.03,0.89,2.31,3.02,1.07,1.38,2.62,2.23,3.94,0.81,4.24,,,
April,,,,1.6,0.97,1.37,0.45,2.79,2.36,1.78,1.1,1.85,0.06,2.57,0.74,1.2,1.05,,,
May,,,,3.3,3.57,0.83,1.85,1.62,1.43,1.42,1.85,1.66,1.21,1.69,1.74,3.14,1.72,,,
June,,,,6.74,1.41,4.18,2.78,2.63,1.77,3.51,2.35,1.9,3.38,0.46,1.92,0.63,2.08,,,
July,,,,5.28,2.11,1.38,1.11,1.8,2.49,3.01,2.67,0.76,1.68,1.93,1.94,3.31,1.54,,,
August,,,,3.58,1.61,2.83,0.65,1.83,2.39,1.4,2.81,1.21,5.33,1.33,2.04,2.53,4.36,,,
September,,,,3.18,1.75,1.6,1.64,0.48,1.38,2.32,0.49,1.24,2.02,1.58,0.96,2.29,1.66,,,
October,,,,5.21,1.83,1.24,3.23,3.61,1.96,3.55,2.66,3.07,2.28,3.52,1.29,2.32,3.54,,,
November,,,,1.85,1.93,3.01,3.74,1.96,0.8,0.76,2.88,3.26,1.77,2.12,2.8,2.04,3.98,,,
December,,,,1.51,2.23,0.92,1.95,3.34,1.97,2.32,3.51,4.39,2.75,0.92,6.26,5.34,2.23,,,
Total,,,,37.67,23.71,22.91,23.31,22.77,21.73,24.08,25.93,23.29,27.81,21.64,26.55,31.11,30.92,,,
