BALQUHIDDER (MEALL REAMHAR),,,,,,,,,,,,
Grid ref,NN517233,Long,-4.403159,Lat,56.378659,,,,,,,
Station no,5526/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,6.55,8.24,,
February,,,,,,,,,3.95,8.15,,
March,,,,,,,,,7.70,4.35,,
April,,,,,,,,,6.90,9.60,,
May,,,,,,,,,3.20,4.80,,
June,,,,,,,,,4.55,3.97,,
July,,,,,,,,,8.05,5.80,,
August,,,,,,,,,4.10,6.10,,
September,,,,,,,,,2.10,6.16,,
October,,,,,,,,,9.25,7.90,,
November,,,,,,,,,12.50,11.20,,
December,,,,,,,,8.50,15.38,10.00,,
Total,,,,,,,,,84.23,86.27,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,84.23,86.27,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
