BATTLE-CATSFIELD-MANOR,,,,,,,,,,
Grid ref,TQ729133,Long,0.45710684,Lat,50.893304,Elevation,230,ft,,
Station no,546/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,6.4,2.23,3.67,2.73,3.5
February,,,,,,1.4,5.1,2.32,0.07,2.7
March,,,,,,0.59,1.72,1.41,1.75,3.62
April,,,,,,1.97,0.29,0.89,2.75,1.58
May,,,,,,0.62,1.08,2.32,0.86,3.27
June,,,,,,3,1.19,3.72,0.68,2.35
July,,,,,,2.92,4.54,3.15,2.35,2.96
August,,,,,,4.25,2.07,3.96,0.67,6.43
September,,,,,,3.62,4,3.58,0.16,5.21
October,,,,,,1.42,1.56,4.59,2.64,11.6
November,,,,,,1.04,3.27,2.92,5.18,7.56
December,,,,,,4.45,2.29,4.46,9.16,4.74
Total,,,,,,31.68,29.34,36.99,29,55.52
