"ALTNACAILLICH  STRATHMORE",,,,,,,,,,,,
Grid ref,NC458455,Long,-4.638072,Lat,58.370720,,,,,,,
Station no,RR4733,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,7.45,8.79,,
February,,,,,,,,,10.77,4.37,,
March,,,,,,,,6.53,6.17,3.22,,
April,,,,,,,,2.85,3.28,3.04,,
May,,,,,,,,3.57,2.49,2.65,,
June,,,,,,,,5.38,3.45,2.07,,
July,,,,,,,,2.60,2.18,4.06,,
August,,,,,,,,6.08,3.01,4.02,,
September,,,,,,,,2.20,9.42,3.12,,
October,,,,,,,,3.69,2.03,9.03,,
November,,,,,,,,4.23,8.85,9.72,,
December,,,,,,,,5.34,4.21,5.97,,
Total,,,,,,,,,63.31,60.06,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.47,63.31,60.06,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
