ALTNACAILLICH  STRATHMORE,,,,,,,,,,,,,,,,,,,,
Grid ref,NC458455,Long,-4.638072,Lat,58.37072,Elevation,60,ft,,,,,,,,,,,,
Station no,RR4733,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,7.45,8.79,8.11,6.41,3.23,1.87,7.95,4.61,13.89,,,
February,,,,,,,,,10.77,4.37,5.57,9.23,3.55,4.21,5.39,3.3,5.78,,,
March,,,,,,,,6.53,6.17,3.22,4.25,5.43,6.05,6.8,7,5.17,4.84,,,
April,,,,,,,,2.85,3.28,3.04,11.03,4.89,7.6,2.45,3.77,6.37,3.9,,,
May,,,,,,,,3.57,2.49,2.65,4.3,2.11,2.67,4.31,5.51,1.49,4.06,,,
June,,,,,,,,5.38,3.45,2.07,1.61,6.66,2.96,4.84,1.97,0.49,7.93,,,
July,,,,,,,,2.6,2.18,4.06,3.21,3.6,3.06,0.83,4.86,2.05,2.53,,,
August,,,,,,,,6.08,3.01,4.02,5.93,2.68,9.36,0.79,2.75,6.2,1.57,,,
September,,,,,,,,2.2,9.42,3.12,3.35,5.46,4.43,3.42,5.27,4.82,3.73,,,
October,,,,,,,,3.69,2.03,9.03,5.61,4.15,5.82,5.52,1.79,0.86,8.18,,,
November,,,,,,,,4.23,8.85,9.72,11.8,8.94,7.64,11.4,5.17,6.1,8.76,,,
December,,,,,,,,5.34,4.21,5.97,9.25,5.7,9.84,11.3,6.13,9.59,6.75,,,
Total,,,,,,,,,63.31,60.06,74.02,65.26,66.21,57.74,57.56,51.05,71.92,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR4733,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
