"SULBY GLEN (BLOCK EARY DAM)",,,,,,,,,,,,
Grid ref,SC388900,Long,-4.477535,Lat,54.280146,,,,,,,
Station no,4418/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.00,7.02,3.10,6.04,7.65,6.30,5.75,13.15,5.00,8.70,,
February,6.80,0.85,2.55,9.06,7.85,0.95,9.35,8.50,1.50,9.10,,
March,7.70,5.67,0.40,8.07,3.25,2.45,5.25,4.15,6.05,4.30,,
April,2.25,2.90,5.56,0.50,5.10,1.30,1.50,1.40,5.20,5.95,,
May,5.56,4.01,5.30,5.45,3.65,1.06,5.20,4.50,0.90,3.30,,
June,0.50,2.90,4.25,3.85,6.15,4.15,1.56,5.50,3.25,2.55,,
July,3.50,1.90,4.95,3.90,2.07,5.45,6.01,4.60,2.95,9.36,,
August,7.60,6.80,4.70,5.65,2.25,10.55,4.60,6.10,1.00,3.35,,
September,7.07,6.45,8.50,8.10,3.03,5.65,10.01,6.90,1.80,6.40,,
October,1.00,9.10,9.41,9.80,4.55,4.03,6.45,6.75,7.15,10.15,,
November,11.17,3.65,6.75,16.05,6.04,2.01,5.30,2.70,9.50,14.60,,
December,10.03,5.11,4.04,9.80,9.45,8.00,5.83,11.15,15.20,6.00,,
Total,72.18,56.36,59.51,86.27,61.04,51.90,66.81,75.40,59.50,83.76,,
Calc annual,72.18,56.36,59.51,86.27,61.04,51.90,66.81,75.40,59.50,83.76,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
