"SULBY GLEN (BLOCK EARY)",,,,,,,,,,,,
Grid ref,SC388900,Long,-4.477535,Lat,54.280146,,,,,,,
Station no,4418/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.44,4.13,2.69,3.84,4.93,5.62,4.23,7.82,,,,
February,6.07,0.73,1.69,7.96,4.94,0.78,7.17,4.58,,,,
March,6.68,4.48,0.35,6.35,3.10,2.14,4.03,2.08,,,,
April,2.67,2.25,5.52,0.58,2.86,0.88,1.07,,,,,
May,5.26,3.83,4.83,5.21,4.61,1.62,3.79,,,,,
June,0.48,2.83,2.10,3.89,5.84,3.31,1.18,,,,,
July,3.50,1.92,4.75,3.91,1.95,4.21,5.55,,,,,
August,6.86,6.24,4.44,5.51,1.90,11.24,3.57,,,,,
September,7.01,6.77,8.21,7.15,3.46,5.39,7.79,,,,,
October,1.06,7.44,7.67,8.06,4.39,3.65,4.82,,,,,
November,11.07,3.24,7.10,13.99,5.62,1.81,4.93,,,,,
December,7.46,4.20,4.07,6.92,8.15,6.59,3.50,,,,,
Total,68.56,48.06,53.42,73.37,51.75,47.24,51.63,,,,,
Calc annual,68.56,48.06,53.42,73.37,51.75,47.24,51.63,14.48,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,,
