SULBY GLEN (BLOCK EARY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SC388900,Long,-4.477535,Lat,54.280146,Elevation,623,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,4418/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,8.67,7.03,2.57,6.85,8.02,5.26,3.17,9.77,6.92,12.24,3.5,2.63,10.44,4.13,2.69,3.84,4.93,5.62,4.23,7.82,,
February,,,,,,,,,5.07,4.09,4.58,2.56,3.81,1.74,3.72,2.29,2.01,2.68,2.51,6.53,6.07,0.73,1.69,7.96,4.94,0.78,7.17,4.58,,
March,,,,,,,,,5.05,4.9,2.74,5.24,0.67,1,1.75,3.22,9.98,3.43,3.47,4.95,6.68,4.48,0.35,6.35,3.1,2.14,4.03,2.08,,
April,,,,,,,,,3.55,5.26,3.3,4.27,2.42,3.05,2.91,0.97,5.85,2.7,3.25,3.14,2.67,2.25,5.52,0.58,2.86,0.88,1.07,,,
May,,,,,,,,,1.52,2.13,3.45,5.5,3.37,2.64,3.65,1.7,3.8,3.85,1.41,1.1,5.26,3.83,4.83,5.21,4.61,1.62,3.79,,,
June,,,,,,,,,2.6,1.64,0.53,0.8,3.4,2.82,3.58,3.89,3.48,5.32,0.94,1.4,0.48,2.83,2.1,3.89,5.84,3.31,1.18,,,
July,,,,,,,,6.7,5.77,5.21,2.23,3.47,2.04,3.46,2.97,2.8,4.49,3.88,2.88,3.18,3.5,1.92,4.75,3.91,1.95,4.21,5.55,,,
August,,,,,,,,2.6,1.75,1.83,3.47,6.6,8.66,3.09,1.82,7.33,0.09,7.82,4.8,8.47,6.86,6.24,4.44,5.51,1.9,11.24,3.57,,,
September,,,,,,,,5.04,2.7,3.28,2.98,4.92,4.97,6.16,3.61,8.66,3.94,4.54,3.79,9.89,7.01,6.77,8.21,7.15,3.46,5.39,7.79,,,
October,,,,,,,,9.54,5.82,6.41,5.03,7.22,5.51,8.28,4.71,0.52,2.1,4.11,7.75,6.72,1.06,7.44,7.67,8.06,4.39,3.65,4.82,,,
November,,,,,,,,8.41,6.35,8.44,4.27,1.7,4.13,7.69,0.32,11.06,5.63,4.12,6.55,3.99,11.07,3.24,7.1,13.99,5.62,1.81,4.93,,,
December,,,,,,,,5.08,4.38,6.19,2.63,7.66,2.67,6.33,8.73,7.44,3.09,7.92,4.16,3.18,7.46,4.2,4.07,6.92,8.15,6.59,3.5,,,
Total,,,,,,,,,53.23,56.41,37.78,56.79,49.67,51.52,40.94,59.65,51.38,62.61,45.01,55.18,68.56,48.06,53.42,73.37,51.75,47.24,51.63,,,
