STOCKLAND-(POST-OFFICE),,,,,,,,,,,,,,,,,,,,,
Grid ref,ST244046,Long,-3.0742,Lat,50.83627,Elevation,350,ft,,,,,,,,,,,,,
Station no,1825,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,7.35,4.03,4.8,3.41,4.02,0.87,7.21,8.69,5.35,8.12,
February,,,,,,,,,,,1.24,2.93,0.05,5.6,0.28,5.59,4.09,9.05,1.52,2.85,
March,,,,,,,,,,,2.98,1.33,3.18,5.07,3.46,1.54,5.07,6.52,0.19,1.34,
April,,,,,,,,,,,3.93,2.66,4.02,2.37,3.69,6.5,2.84,3.37,0.02,3.15,
May,,,,,,,,,,,2.07,3.57,4.23,2.3,1.75,1.9,0.62,3.03,2.85,0.97,
June,,,,,,,,,,,0.26,3.49,3.83,1.63,1.96,4.46,1.6,1.43,2.24,3,
July,,,,,,,,,,,2.5,5.39,3.17,3.02,0.89,0.28,9.25,3.58,5.06,5,
August,,,,,,,,,,,4.64,3.99,1.51,1.22,4.84,2.6,0.19,0.85,2.59,2.48,
September,,,,,,,,,,,7.78,1.73,6.37,2.01,3.76,4.88,3.95,2.84,2.36,1.05,
October,,,,,,,,,,6.52,3.68,0.43,7.19,3.3,3.5,4.92,2.13,5.04,4.61,5.15,
November,,,,,,,,,,11.91,7.28,8.27,2.92,1.12,1.91,8,4.62,3.05,6.69,9.06,
December,,,,,,,,,,10.38,5.66,1.89,4.11,1.37,15.45,7.26,5.21,5.4,5.09,2.63,
Total,,,,,,,,,,,49.37,39.71,45.38,32.42,45.51,48.8,46.78,52.85,38.57,44.8,
,,,,,,,,,,,,,,,,,,,,,
1929 Sept 30 Gauge moved 200yrds S from the Reading Room,,,,,,,,,,,,,,,,,,,,,
