"STOCKLAND",,,,,,,,,,,,
Grid ref,ST246047,Long,-3.072139,Lat,50.836898,,,,,,,
Station no,1825,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,4.36,,,,
March,,,,,,,,2.01,,,,
April,,,,,,,,1.00,,,,
May,,,,,,,,3.94,,,,
June,,,,,,,,2.67,,,,
July,,,,,,,,3.81,,,,
August,,,,,,,,4.20,,,,
September,,,,,,,,7.16,,,,
October,,,,,,,,3.47,,,,
November,,,,,,,,2.88,,,,
December,,,,,,,,5.66,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.16,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
