"THURCASTON RECTORY",,,,,,,,,,,,
Grid ref,SK566105,Long,-1.164067,Lat,52.689239,,,,,,,
Station no,RR3093,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.32,1.26,0.98,1.82,2.55,,,,,,,
February,3.95,1.15,1.36,0.77,2.49,,,,,,,
March,0.60,1.71,1.47,2.64,1.67,,,,,,,
April,0.82,1.50,1.90,1.77,0.89,,,,,,,
May,1.33,1.10,2.29,2.48,1.81,,,,,,,
June,2.33,2.28,2.64,1.53,0.11,,,,,,,
July,2.23,3.29,1.31,1.85,2.77,,,,,,,
August,3.48,1.91,3.76,3.88,3.56,,,,,,,
September,0.30,1.30,1.11,2.56,1.14,,,,,,,
October,1.85,1.38,1.94,6.07,0.57,,,,,,,
November,2.27,1.08,1.46,1.67,1.08,,,,,,,
December,3.84,3.68,1.23,1.23,1.47,,,,,,,
Total,26.32,21.64,21.45,28.27,20.11,,,,,,,
Calc annual,26.32,21.64,21.45,28.27,20.11,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
