CREDITON-OKEFIELD-(NEW-HOUSE),,,,,,,,
Grid ref,SS832006,Long,-3.658546,Lat,50.793162,Elevation,275,ft
Station no,1784,,,,,,,
,,,,,,,,
,1957,1958,1959,1960,,,,
January,,2.89,4.43,3.57,,,,
February,,3.56,0.29,3.2,,,,
March,,1.18,3.92,2.57,,,,
April,,0.55,2.84,3.2,,,,
May,,2.83,1.1,1.96,,,,
June,,3.14,1.64,0.87,,,,
July,3.23,3.14,1.64,3.85,,,,
August,2.35,3.36,2.9,3.15,,,,
September,3.06,3.64,0.22,6,,,,
October,2.03,2.98,3.75,9.29,,,,
November,2.45,3.04,7.22,3.52,,,,
December,2.76,4.78,6.59,5.02,,,,
Total,,35.09,36.54,46.2,,,,
