LYTHAM,,,,,,,,,,,,
Grid ref,SD358278,Long,-2.974881,Lat,53.742607,,,,,,,
Station no,RR8170,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.86,,
February,,,,,,,,,,1.00,,
March,,,,,,,,,,2.50,,
April,,,,,,,,,,2.81,,
May,,,,,,,,,,1.38,,
June,,,,,,,,,,3.37,,
July,,,,,,,,,,4.86,,
August,,,,,,,,,,2.99,,
September,,,,,,,,,,2.49,,
October,,,,,,,,,,4.51,,
November,,,,,,,,,,0.93,,
December,,,,,,,,,,5.13,,
Total,,,,,,,,,,33.83,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.83,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
