"LYTHAM, WARTON HALL",,,,,,,,,,,
Grid ref,SD368272,Long,-2.9595986,Lat,53.737338,Elevation,20,ft,,,
Station no,RR8171,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,3.06,1.88,3.04,1.91,2.95,,,,
February,,,3.63,3.75,0.52,3.67,3.57,,,,
March,,,1.54,1.37,1.3,0.87,0.74,,,,
April,,,1.9,2.76,1.45,1.55,1.19,,,,
May,,,2.13,2.28,3.7,3.99,3.03,,,,
June,,,2.05,0.41,3.41,0.17,2.34,,,,
July,,,5.32,3.47,4.28,2.27,3.53,,,,
August,,,5.63,4.55,4.17,2.57,2.66,,,,
September,,,3.88,4.75,4.99,4.15,3.94,,,,
October,,,0.79,3.77,3.84,4.79,3.1,,,,
November,,,2.14,3.43,1.49,2.78,5.22,,,,
December,,,4.3,3.52,4.48,1.97,0.96,,,,
Total,,,36.37,35.94,36.67,30.69,33.23,,,,
