LYTHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD367272,Long,-2.9611144,Lat,53.737326,Elevation,37,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,4.9,4.49,,,,,,,,,,,4.33,2.14,4.11,,,,,,,,,,,,,,,,,,,,,,,1.86
February,,,2.73,0.8,,,,,,,,,,,3.04,3.7,1.21,,,,,,,,,,,,,,,,,,,,,,,1
March,,,4.49,3.64,,,,,,,,,,,2.75,2.54,2.15,,,,,,,,,,,,,,,,,,,,,,,2.5
April,,,1.65,0.8,,,,,,,,,,,1.33,1.58,2.43,,,,,,,,,,,,,,,,,,,,,,,2.81
May,,,2.09,2.52,,,,,,,,,,,1.77,1.56,4.3,,,,,,,,,,,,,,,,,,,,,,,1.38
June,,,4.06,2.55,,,,,,,,,,,0.73,1.74,1.66,,,,,,,,,,,,,,,,,,,,,,,3.37
July,,,5.94,2.9,,,,,,,,,,,4.21,1.63,5.27,,,,,,,,,,,,,,,,,,,,,,,4.86
August,,,3.16,2.88,,,,,,,,,,,2.28,1.78,1.16,,,,,,,,,,,,,,,,,,,,,,,2.99
September,,,5.57,2.54,,,,,,,,,,,2.78,4.85,4.23,,,,,,,,,,,,,,,,,,,,,,,2.49
October,,,5.92,4.62,,,,,,,,,,,2.47,4.95,5.13,,,,,,,,,,,,,,,,,,,,,,,4.51
November,,,3.88,2.03,,,,,,,,,,,1.97,2.97,3.24,,,,,,,,,,,,,,,,,,,,,,,0.93
December,,,3.7,1.44,,,,,,,,,,,3.91,1.74,4.31,,,,,,,,,,,,,,,,,,,,,,,5.13
Total,,,48.09,31.21,,,,,,,,,,,31.57,31.18,39.2,,,,,,,,,,,,,,,,,,,,,,,33.83
