EASTBOURNE-EAST-DEAN (TELEGRAPH RELAY OFFICE),,,,,,,,,,,,,,,,,,,,
Grid ref,TV556976,Long,0.20466641,Lat,50.757143,Elevation,180,ft,,,,,,,,,,,,
Station no,RR6727,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,2.59,3.22,2.42,3.93,2.83,1.51,0.94,2.97,1.97,0.67,1.35,3.54,2.15,,,,
February,,,,2.89,1.41,3.64,0.88,0.68,1.24,2.19,1.04,0.04,0.99,2.71,2.67,0.13,,,,
March,,,,0.85,1.52,2.23,1.3,0.68,3.96,1.47,1.58,1.22,1.04,0.17,1.23,1.84,,,,
April,,,,1.49,1.54,0.97,1.96,1.52,1.21,2.42,3.07,0.54,1.28,0.05,1.85,2.06,,,,
May,,,,2.81,0.5,2.21,3.74,1.26,1.07,1.08,1.98,1.93,0.41,0.62,1.58,0.05,,,,
June,,,,1.03,1.7,0.73,1.09,1.02,2.79,0.4,2.2,1.9,1.78,0.3,1.34,0.46,,,,
July,,,,2.24,1.58,0.46,1.93,0.43,3.75,3.08,3.18,2.22,1.58,4.96,5.57,3.46,,,,
August,,,,0.59,1.64,0.86,1.16,2.1,1.14,3.05,3.16,5.81,2.96,0.86,1.64,2.34,,,,
September,,,,3.96,5.25,3.68,1.56,3.51,0.93,0.49,0.88,1.46,2.35,4,4.32,0.95,,,,
October,,,,2.78,1.59,4.73,3.13,1.49,2.9,6.66,1.72,5.27,5.18,4.71,5.02,4.77,,,,
November,,,,4.35,1.06,3.61,4.42,4.57,3.26,1.37,3.7,2.44,2.67,2.3,3.38,5.62,,,,
December,,,,1.32,4.45,1.37,4.86,2.58,1.72,1.8,0.36,2.6,2.61,2,2.54,3.33,,,,
Total,,,,26.9,25.46,26.91,29.96,22.67,25.48,24.95,25.84,27.4,23.52,24.03,34.68,27.16,,,,
