REIGATE-HILL-GATTON,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ262523,Long,-0.19291,Lat,51.25591,Elevation,687,ft,,,,,,,,,,,,
Station no,RR8076,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,2.71,0.47,1.27,2.06,3.23,3.71,3.09,4.07,2.44,,
February,,,,,,,,,,4.26,3.57,3.49,2.38,4.42,1.82,3.28,0.61,0.85,,
March,,,,,,,,,,0.61,0.84,2.74,1.12,0.91,1.93,1.61,1.69,2.42,,
April,,,,,,,,,,3.3,2.36,0.68,2.67,1.46,1.73,1.46,1.97,2.12,,
May,,,,,,,,,,4.65,0.4,1.31,1.45,2.32,0.58,3.46,4.95,1.94,,
June,,,,,,,,,,4.3,3.58,2.18,3.8,2.19,1.78,1.64,1.3,0.76,,
July,,,,,,,,,,4.49,4.68,2.87,2.97,3.24,1.62,0.44,3.51,0.88,,
August,,,,,,,,,,6.19,1.06,6.01,2.03,1.31,1.6,0.96,1.52,2.9,,
September,,,,,,,,,1.49,3.84,5.67,3.03,3.02,5,3.09,5.2,2.5,2.77,,
October,,,,,,,,,2.49,1.03,7.59,3.28,6.35,2.83,1.6,4.16,3.93,1.97,,
November,,,,,,,,,4.29,1.13,,5.77,2.59,4.88,1.17,3.64,4.02,4.32,,
December,,,,,,,,,1.85,0.83,4.12,3.95,2.92,0.9,3.1,1.53,3.97,1.99,,
Total,,,,,,,,,,37.34,,36.58,33.36,32.69,23.73,30.47,34.04,25.36,,
,,,,,,,,,,,,,,,,,,,,
Exact location unknown but first sheet says Gatton so NGR is Gatton end of Reigate Hill at correct elevation,,,,,,,,,,,,,,,,,,,,
Observer was a CE but reservoirs on hill are too low ,,,,,,,,,,,,,,,,,,,,
Gauge could have been up to 0.5 miles further W but there are other place names more logical than Gatton if there,,,,,,,,,,,,,,,,,,,,
