SWAFFHAM (SAHAM TONEY),,,,,,,,,,,,
Grid ref,TF895017,Long,0.795423,Lat,52.580082,,,,,,,
Station no,1465/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.29,2.01,1.10,1.90,2.08,3.44,,,,,,
February,2.80,0.98,1.63,2.85,2.75,1.41,,,,,,
March,3.54,2.26,0.53,2.52,1.52,0.89,,,,,,
April,3.39,1.62,2.38,0.37,0.57,1.12,,,,,,
May,1.93,2.28,2.20,2.17,2.39,0.73,,,,,,
June,1.08,1.51,3.67,3.03,2.40,3.83,,,,,,
July,1.41,1.23,2.69,3.41,0.13,4.14,,,,,,
August,3.26,2.81,2.48,5.55,1.09,3.85,,,,,,
September,2.21,2.52,1.30,2.15,1.39,1.48,,,,,,
October,0.94,2.44,2.36,2.60,3.13,1.76,,,,,,
November,3.28,4.27,1.53,4.08,1.08,0.91,,,,,,
December,1.63,2.26,1.07,1.54,1.84,2.15,,,,,,
Total,28.76,26.19,22.94,32.17,20.37,25.71,,,,,,
Calc annual,28.76,26.19,22.94,32.17,20.37,25.71,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
