"WAREHAM CASTLE GARDENS",,,,,,,,,,,,
Grid ref,SY922871,Long,-2.111770,Lat,50.683502,,,,,,,
Station no,RR1134,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.90,2.04,1.21,2.95,5.95,1.06,8.02,1.12,1.12,0.92,,
February,5.48,1.91,1.91,2.17,4.52,0.70,3.88,1.57,1.53,0.45,,
March,1.13,2.50,2.73,3.92,1.35,5.60,1.17,0.55,3.35,5.30,,
April,1.48,3.00,1.64,3.18,1.19,1.73,1.26,3.78,2.32,1.25,,
May,1.52,0.80,2.08,2.81,3.10,0.65,3.00,2.23,2.60,1.84,,
June,2.65,1.14,2.78,2.52,1.15,3.09,1.51,1.95,0.35,3.10,,
July,0.63,1.68,2.15,2.79,2.00,0.48,1.15,1.17,1.62,2.63,,
August,2.61,2.26,4.10,4.54,4.20,2.98,0.79,1.38,3.36,3.25,,
September,0.96,3.83,2.02,2.33,2.82,2.60,0.88,0.65,2.02,3.29,,
October,2.53,2.82,2.36,9.49,2.24,2.52,6.64,9.42,2.99,7.68,,
November,3.90,0.57,4.06,1.57,1.38,6.07,5.22,3.26,1.01,0.89,,
December,5.87,5.30,2.00,3.50,3.28,0.83,1.81,4.11,3.49,5.28,,
Total,32.66,27.85,29.04,41.77,33.18,28.31,35.33,31.19,25.76,35.88,,
Calc annual,32.66,27.85,29.04,41.77,33.18,28.31,35.33,31.19,25.76,35.88,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
