EAST-HOATHLY-HALLAND-PARK,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ512159,Long,0.1498779,Lat,50.922752,Elevation,140,ft,,,,,,,,,,,,,
Station no,508,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.99,1.44,1.95,4.01,3.77,2.13,5.53,1.23,4.07,2.5,3.56,2.3,3.17,0.79,4.36,5.82,4.14,,
February,,,1.84,4.26,0.95,3.85,2.64,3.39,1.59,0.71,1.67,2.52,0.21,2.36,0.05,4.2,1.86,5.43,0.61,,
March,,,2.47,1.97,1.91,0.93,0.4,4.19,1.96,0,1.36,0.43,1.61,2.76,2.92,0.51,1.61,3.9,0.26,,
April,,1.16,3.47,3.45,3.28,3.15,3.82,2.11,2.51,0.57,1.47,2.8,2.45,1.01,2.58,3.64,1.41,2.88,0.37,,
May,,,0.42,4.07,3.58,2.96,1.84,1.47,1.75,2.03,2.26,2.06,3.54,1.57,0.44,1.68,0.43,2.73,2.31,,
June,,,1.73,0.37,1.97,0.13,3.7,5.07,3.03,2.02,1.22,1.64,1.6,2.12,1.25,1.97,2.85,1.92,0.31,,
July,,,2.69,3.55,2.5,4.78,1.74,3.39,1.64,1.04,2.6,3.6,4.66,2.4,1.72,0.55,3.86,1.13,3.21,,
August,,,3.29,2.45,4.83,2.47,2.63,4.32,1.74,2.74,3.48,3.01,0.54,1.34,2,4.27,0.73,1.33,,,
September,,,2.62,2.93,3.89,3.17,0.71,4.88,0.31,1.87,3.23,2.28,2.61,3.56,1.29,6.69,2.1,2.2,,,
October,,,1.3,6.31,5.47,4.5,1.96,2.71,7.91,4.25,2.69,0.58,7.97,2.21,2.26,4.91,1.32,3.28,,,
November,,,1.24,2.64,3.72,5.02,6.87,3.65,4.84,8.54,6.35,4.96,1.69,1.03,4.71,6.89,5.17,3.97,,,
December,,,3.92,3.4,5.09,5.09,0.64,3.99,3.84,7.44,2.96,0.97,0.66,1.12,8.48,4.99,3.19,2.2,,,
Total,,,28.98,36.84,39.14,40.06,30.72,41.3,36.65,32.44,33.36,27.35,31.1,23.78,30.87,41.09,28.89,36.79,,,
