GREAT END,,,,,,,,,,,,,,,,,,,,
Grid ref,NY226084,Long,-3.1956374,Lat,54.465049,Elevation,2982,ft,,,,,,,,,,,,
Station no,RR6089,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,6,8.92,6.86,8.24,,,9.63,,8.42,5.73,,,,
February,,,,,,,,,8.3,,,,5.07,,,,,,,
March,,,,,,,,,10.26,,1.74,,6.2,,,,,,,
April,,,,,,11.13,,,6.9,,,4.42,5.34,,,,,,,
May,,,,,,10.63,,,3.75,1.72,11.78,,2.7,,,0.2,5.5,4.2,,
June,,,,,,0.74,4.56,3.51,2.55,2.27,3.04,,7.14,,1.1,6.26,1.72,4.3,,
July,,,,,,6.35,7.14,6.68,2.7,4.2,1.88,,6.36,,6.04,,3.3,8.45,,
August,,,,,,10.2,8.72,10.74,8.2,4.26,1.64,,9.06,,,6.1,1.8,,,
September,,,,,,6.15,10.91,10.37,3.88,13.3,6.21,,15.41,,4.93,4.15,7.5,4.2,,
October,,,,,,2.98,5.3,5.02,6.02,7.66,11.03,,13.31,6.98,,,,9.65,,
November,,,,,,2.92,,,5.78,,3.06,,6.44,6.08,,,,,,
December,,,,,,8.42,,,10.43,10.41,3.19,,4.74,4.75,3.1,,15,,,
Total,,,,,,,,,75.63,,,,91.4,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1866 Feb-Mar-Apr bracketed and partially frozen; Nov-Dec ditto,,,,,,,,,,,,,,,,,,,,
1867 Feb-Mar-Apr-May bracketed and partially frozen; Nov-Dec ditto,,,,,,,,,,,,,,,,,,,,
1869 Feb-Mar-Apr bracketed and partially frozen; Nove frozen ,,,,,,,,,,,,,,,,,,,,
