"ROCHESTER, BYRNESS, NORTHUMBERLAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT769025,Long,-2.3655187,Lat,55.31603,Elevation,700,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,5.02,4.35,3.97,,5.1,,2.69,,3.21,4.63,,,0.8,1.79,,,,,,,,
February,,,,,,,,,3.63,3.84,2.39,,4.16,,1.75,,5.03,3.27,,,3.93,2.95,,,,,,,,
March,,,,,,,,,3.72,1.22,0.6,,2.48,,1.96,,2.21,5.04,,,2.32,3.69,,,,,,,,
April,,,,,,,,4.03,2.68,1.95,0.74,,3.36,,2.19,,3.96,4.69,,,2.19,1.15,,,,,,,,
May,,,,,,,,2.42,1.59,2.92,2.72,,2.68,,2.92,,1.26,3.88,,,1.33,2.29,,,,,,,,
June,,,,,,,,1.84,1.01,2.09,2.14,,3.32,,1.24,,2.56,2.75,,,2.91,2.81,,,,,,,,
July,,,,,,,,5.18,0.36,1.34,0.69,,5.96,,2.33,,1.65,4.03,,6.85,4.93,4.03,,,,,,,,
August,,,,,,,,1.83,3.69,1.28,1.74,,2.08,,5.15,,2.55,8.05,,2.7,1.73,6.1,,,,,,,,
September,,,,,,,,2.27,4.13,4.24,2.17,,6.66,,3.65,,3.93,3.05,,3.3,4.28,4.04,,,,,,,,
October,,,,,,,,2.3,2.8,2.37,4.9,,6.6,,7.68,,2.62,3.9,,1.42,6.26,4.64,,,,,,,,
November,,,,,,,,0.38,2.67,2.71,1.75,,6.06,,1.8,,3.9,1.75,,2.7,6.62,6.25,,,,,,,,
December,,,,,,,,3.82,5.96,6.04,4.31,,5.75,,5.5,,9.55,2.12,,4.42,4.82,4.58,,,,,,,,
Total,,,,,,,,,37.26,34.35,28.12,,54.21,,38.86,,42.43,47.16,,,42.12,44.32,,,,,,,,
