STANFORD RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO700656,Long,-2.4412304,Lat,52.287711,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,1.96,3.39,3.38,4.6,1.39,6.35,1.34,3.19,1.71,2.68,0.77,3.66,3.41,3.01,5.35,3.62,,2.95,,,,,,,,
February,,,,,,3.65,2.39,2.68,2.17,0.64,0.51,1.86,0.15,3.88,0.37,2.1,2.55,4.85,0.48,0.96,2.1,,0.62,,,,,,,,
March,,,,,,0.77,0.37,2.83,2.52,0.14,2.41,0.13,1.09,2.44,2.06,0.68,2.69,2.67,0.31,0.98,1.25,,2.39,,,,,,,,
April,,,,,,2.05,1.94,1.44,1.41,0.79,2.95,3.29,4.02,1.13,2.67,3.61,2.18,2.14,0.04,2.06,2.18,,1.71,,,,,,,,
May,,,,,,3.57,2.38,1.18,1.13,1.91,1.82,3.91,6.01,1.45,1.16,0.61,0.82,2.89,1.28,0.92,2.41,,4.08,,,,,,,,
June,,,,,,0.09,1.71,3.18,3.16,1.99,1.3,3.87,1.06,1.5,1.02,3.4,4.09,0.75,1.21,1.65,0.88,,0.31,,,,,,,,
July,,,,,,2.82,2.13,3.6,1.33,1.43,2.99,2.62,2.94,1.77,1.74,0.49,5.37,2.6,2.75,4.96,2.95,,1.75,,,,,,,,
August,,,,,,1.93,2.14,4.09,2.37,1.71,2.71,4.16,3.06,0.75,2.34,1.42,0.39,0.55,2.55,1.58,0.15,,2.7,,,,,,,,
September,,,,,,3.52,0.81,4.25,1.02,1.01,3.26,2.11,3.52,0.84,1.44,2.84,2.91,2.51,1.67,1.02,1.27,,1.7,,,,,,,,
October,,,,,,3.6,2.57,2.22,3.81,4.6,2.69,0.64,3.77,5.03,1.15,2.49,1.25,2.27,2.9,2.47,4.41,,1.99,,,,,,,,
November,,,,,,1.86,6.34,3.09,3.04,8.16,3.04,4.34,1.4,0.85,1.88,5.36,3.34,1.5,3.52,4.95,7.19,,0.95,,,,,,,,
December,,,,,,2.86,0.57,2.5,2.03,6.2,3.52,1.07,1.12,0.28,5.33,2.72,3.19,1.75,3.55,1.82,1.3,,3.81,,,,,,,,
Total,,,,,,28.68,26.74,34.44,28.59,29.97,33.55,29.34,31.33,21.63,23.84,26.49,32.44,27.89,23.27,28.72,29.71,,24.96,,,,,,,,
