MORLAND HALL - observer W.G. Shorrock,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY604228,Long,-2.6144546,Lat,54.598816,Elevation,475,ft,,,,,,,,,,,,,
Station no,3687,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,6.63,0.74,5.63,2.9,7,3.85,3.88,2,,,,,
February,,,,,,,,,3.74,0.49,0.26,2.62,0.15,2.43,0.08,4.11,,,,,
March,,,,,,,,,3.77,0.14,2.45,0.78,2.68,1.7,1.94,1.19,,,,,
April,,,,,,,,,0.79,1.33,1.62,2.1,2.8,1.17,3.2,3.5,,,,,
May,,,,,,,,,1.32,1.8,1.86,1.99,3.06,3.1,2.52,0.77,,,,,
June,,,,,,,,,4.66,1.55,1.27,3.63,2.01,2.63,1.38,3.34,,,,,
July,,,,,,,,,2.54,3.81,5.16,4.02,5.23,2.01,1.65,1.07,,,,,
August,,,,,,,,,6.18,3.32,6.03,2.92,0.97,1.52,3.03,1.59,,,,,
September,,,,,,,,,1.44,1.68,2.26,1.52,3.61,1.69,3.17,5.69,,,,,
October,,,,,,,,,6.03,4.55,5.41,1.94,6.12,3.37,5.71,5.79,,,,,
November,,,,,,,,,5.57,5.82,3.69,6.45,1.85,1.81,0.42,3.29,,,,,
December,,,,,,,,,2.2,6.34,4.89,2.31,3.71,0.48,5.52,2.24,,,,,
Total,,,,,,,,,44.87,31.57,40.53,33.18,39.19,25.76,32.5,34.58,,,,,
