North Uist (VALLAY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NF 77363 75915,Long,-7.411676,Lat,57.657101,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5765/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,2.47,5.18,,7.44,1.58,,4.3,7.8,4.76,5.99,,,6.62,3.57,4.96,1.82,1.03,3.68,4.94,,,,,,,
February,,,,,,2.65,1.97,,3.02,1.11,,5.7,0.73,3.62,1.37,,1.87,3.62,2.69,5,2.39,4.09,3.7,4.47,2.11,,,,,,
March,,,,,,1.85,2.32,,3.01,0.9,,1.99,1.95,2.89,2.31,,2.3,1.27,3.05,3.27,2.11,2.07,1.77,2.1,2.23,,,,,,
April,,,,,,1.93,1.15,,0.92,1.81,,2.24,2.39,3.35,3.21,,1.34,1.79,0.68,3.96,3.34,1.54,1.26,2.62,1.54,,,,,,
May,,,,,,3.38,2.01,,1.33,2.77,,3.21,1.02,1.45,2.69,,1.93,2.87,3.87,2.17,1.58,0.88,1.67,2.44,2.18,,,,,,
June,,,,,,0.85,1.63,,1.82,1.75,2.5,4.55,1.4,2.8,2.24,,1.61,2.32,4.84,1.42,2.36,1.17,2.03,3.22,3.17,,,,,,
July,,,,,,3.41,1.5,,3.32,2.96,1.48,4.96,5.89,3.17,3.61,,2.56,2.17,3.36,5.71,4.75,3.87,3.65,3.47,1.83,,,,,,
August,,,,,,1.99,4.02,,2.76,4.38,3.3,0.94,5.32,7.02,3.59,,,1.92,3.09,1.94,3.54,3.94,4.42,4.84,3.44,,,,,,
September,,,,,,3.12,4.55,,3.86,6.53,3.09,1.5,6.38,1.21,7.88,,,5.09,5.08,2.31,3.79,2.19,4.78,3.1,2.96,,,,,,
October,,,,,,3.95,4.01,,4.87,4.65,7.64,4.69,5.86,4.48,6.15,,3.19,3.56,7.71,1.47,4.29,3.28,5.02,7.45,6.05,,,,,,
November,,,,,,3.79,4.35,,4.77,5.07,3.33,6.18,4.24,2.51,2.37,,4.78,1.48,6.81,5.71,6.66,3.7,2.73,4.29,,,,,,,
December,,,,,,2.95,2.03,,4.24,3.57,5.24,3.11,4.87,2.61,4.41,,7.77,1.85,2.8,3.25,4.71,2.77,6.4,2.79,,,,,,,
Total,,,,,,32.34,34.72,,41.36,37.08,,43.37,47.85,39.87,45.82,,,34.56,47.55,41.17,41.34,30.53,41.11,45.73,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 J Au S +T estd Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Jan est Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5765/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR No,RR4093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
