GREAT-BOOKHAM-POLESDEN-LACEY-OBSERVER-GOLDSMITH,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ134521,Long,-0.37631274,Lat,51.256797,Elevation,420,ft.,,,,,,,,,,,,
Station no,RR8425,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.29,3.61,3.19,0.67,1.83,,,,,,
February,,,,,,,,,,2.64,0.98,0.28,1.22,4.04,,,,,,
March,,,,,,,,,,2.88,2.43,2.51,1.43,0.84,,,,,,
April,,,,,,,,,,2.5,2.48,0.74,1.15,0.19,,,,,,
May,,,,,,,,,,3.98,1.56,3.1,1.13,0.7,,,,,,
June,,,,,,,,,,0.72,2.2,1.18,1.92,0.95,,,,,,
July,,,,,,,,,,1.51,4.68,3.4,1.68,1.83,,,,,,
August,,,,,,,,,,2.34,2.88,4.9,2.94,0.7,,,,,,
September,,,,,,,,,,1.04,0.74,1.7,2.2,1.6,,,,,,
October,,,,,,,,,,5.2,0.97,6.55,4.71,4.3,,,,,,
November,,,,,,,,,,1.47,3.08,3.79,3.02,2.46,,,,,,
December,,,,,,,,,,1.96,0.27,4.43,1.82,3.56,,,,,,
Total,,,,,,,,,,27.53,25.88,35.77,23.89,23,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is taken as the same as the 1910s record. ,,,,,,,,,,,,,,,,,,,,
The stated altitude of 540/550 ft. is too high for the estate; same altitude as later record used.,,,,,,,,,,,,,,,,,,,,
"The location could be elsewhere on the estate, possibly 500m N,NE or E.",,,,,,,,,,,,,,,,,,,,
