DORCHESTER-WARMWELL-MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY749873,Long,-2.356656,Lat,50.68517,Elevation,134,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1567/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.06,6.42,4.33,6.86,3.62,4.83,5.3,7.32,3.01,2.4,3.63,2.91,6.92,1.07,0.79,3.91,2.75,0.93,2.14,3.98,5.08,3.93,3.95,5.85,4.41
February,,,,,,3.7,6.37,1.05,2.44,4.94,4.92,0.09,1.24,0.53,2.84,3.08,2.26,1.39,1.58,6.33,5.83,0.73,2.27,3.56,2.37,0.15,4.39,3.24,0.43,3.35
March,,,,,,4.54,4.44,0.38,1.42,3.41,3.43,3.03,1,0.25,1.3,1.67,9.19,1.33,1.49,2.02,4.6,3.69,0.77,4.94,1.66,0.84,3.09,1.33,3.97,2.12
April,,,,,,1.49,2.48,0.12,2.38,1.88,1.79,2.25,0.81,2.13,0.97,2.73,2.2,1.7,1.93,2.73,2.54,1.99,2.74,0.08,0.85,1.75,0.34,0.66,2.5,2.85
May,,,,,,0.63,3.36,1.83,1.11,2.25,3.22,5.25,2.59,0.44,2.67,3.44,1.95,2.52,2.65,1.45,2.66,2.76,3.07,1.55,4.94,0.77,2.3,2.62,1.61,1.65
June,,,,,,1.44,0.73,0.63,2.44,0.34,2,0.34,0.96,2.76,3.44,4.42,1.92,2.17,0.64,1.5,0.44,0.8,2.36,3.35,3.45,2.55,1.75,2.98,1.32,1.63
July,,,,,,4.69,4.03,2.35,5.52,2.25,1.78,1.22,2.25,3.64,1.74,1.29,1.52,1.54,0.98,5.59,1.5,0.69,3.45,3.61,6.74,3.35,4.31,2.97,1.64,3.79
August,,,,,,0.13,1.33,1.73,1.75,0,4.47,5.8,2.04,2.16,2.66,4.81,1.08,3.8,2.08,4.28,6.99,2.74,2.55,3.43,1,4.38,3.23,3.05,2.28,6.66
September,,,,,,2.59,3.16,2.05,0.92,2.41,1.09,3.28,3.41,2.33,3.07,6.34,1.84,3.38,5.3,4.76,4.6,4.36,3.31,3.78,1.79,5.14,3.96,6.34,0.2,6.39
October,,,,,,1.82,4,5.25,6.8,5.91,1.63,4.36,4.45,4.37,4.2,1.84,1.61,3.15,8.24,1.59,1,5.21,3.97,3.57,3.63,2.14,3.32,3.55,4.41,8.23
November,,,,,,4.56,2.42,6.2,8.5,9.7,2.27,1.98,3.18,7.17,1.73,6.53,2.8,2.63,5.05,7.33,9.06,4.09,1.9,7.33,3.84,1.01,2.83,3.54,3.37,5.57
December,,,,,8.3,4.19,5.8,3.78,2.82,3.19,2.92,5.33,4.08,2.52,4.43,4.8,4.26,5.73,2.26,3.14,3.48,4.01,0.9,3.38,5.88,4.36,2.73,4.82,8.95,4.77
Total,,,,,,34.84,44.54,29.7,42.96,39.9,34.35,38.23,33.33,31.31,31.45,44.58,33.54,36.26,33.27,41.51,46.61,33.82,28.22,40.72,40.13,31.52,36.18,39.05,36.53,51.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Apr 27 Inspection Site satisfactory Slt o/e NE-SSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Warmwell SRC_ID 7985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
