DORCHESTER-WARMWELL-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SY753859,Long,-2.35006,Lat,50.67279,Elevation,155,ft,,,,,,,,,,,,
Station no,1567/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.48,1.16,,1.85,6.37,6.34,1.09,,0.88,,,
February,,,,,,,,,1.86,0.4,,2.38,3.48,1.96,4.76,,5.59,,,
March,,,,,,,,,3.14,5.03,,3.22,5.72,3.16,6.31,,2.71,,,
April,,,,,,,,,2.65,1.74,,2.35,0.08,3.19,1.56,,0.87,,,
May,,,,,,,,,2.04,1.7,,1.04,2.5,2.34,1.71,,2.03,,,
June,,,,,,,,2.47,0.41,4.9,,2.32,3.49,0.57,1.14,,1.62,,,
July,,,,,,,,1.18,1.81,2.94,,0.28,1.69,0.79,4.73,,1.13,,,
August,,,,,,,,1.75,4.64,3.76,,0.82,7.72,1.34,4.21,,4.02,,,
September,,,,,,,,0.76,2.63,3.23,,1.4,2.61,3.22,2.03,,3.36,,,
October,,,,,,,,9.36,4.46,8.89,,4.65,4.98,4.34,3.57,,6.36,,,
November,,,,,,,,3.94,1.46,0.7,,5.28,2.01,4.52,5.38,,4.8,,,
December,,,,,,,,5.19,4.16,6.81,,8.08,5.97,2.38,9.09,,3.62,,,
Total,,,,,,,,,30.74,41.26,,33.67,46.62,34.15,45.58,,36.99,,,
,,,,,,,,,,,,,,,,,,,,
Annual values rejected from survey 1928,,,,,,,,,,,,,,,,,,,,
1917 Aug 21 Inspection Copper Howard sunk in ground Glass (A and N stores) good but broken In walled garden Very sheltered but probably a good record,,,,,,,,,,,,,,,,,,,,
