LOCH TURRET (FENDOCH),,,,,,,,,,
Grid ref,NN885297,Long,-3.810341,Lat,56.446245,Elevation,1480,ft,,
Station no,5546/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.8,2.5,6.1
February,,,,,,,,3,2.55,6.8
March,,,,,,,,3.4,4.5,4.25
April,,,,,,,,2.15,5.2,5.5
May,,,,,,,,5,1.55,4.6
June,,,,,,,,5.35,3.05,3.2
July,,,,,,,,6.42,5.95,6.15
August,,,,,,,,6.43,2.55,6.3
September,,,,,,,,7.45,1.2,5
October,,,,,,,3.7,4.75,5.6,8.4
November,,,,,,,3.5,2.1,9.65,7.25
December,,,,,,,7.6,8,9.6,6.85
Total,,,,,,,,58.85,53.9,70.4
,,,,,,,,,,
1958 P () Jul Aug Estd,,,,,,,,,,
1959 P ,,,,,,,,,,
1960 P () JFAp SOND Est,,,,,,,,,,
,,,,,,,,,,
Station no,5546/7,,,,,,,,,
Midas,15281,,,,,,,,,
Hyd Stn,878557,,,,,,,,,
