UYESOUND,,,,,,,,,,
Grid ref,HP587018,Long,-0.926817,Lat,60.695079,Elevation,100,ft,,
Station no,5833/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3,2.12
February,,,,,,,,,1.72,4.56
March,,,,,,,,1.01,1.42,1.82
April,,,,,,,,1.62,4.21,4.19
May,,,,,,,,3.57,1.46,2.1
June,,,,,,,,0.37,2.96,2.53
July,,,,,,,,3.52,3.21,1.27
August,,,,,,,,2.86,2.69,1.99
September,,,,,,,,3.49,1.45,2.82
October,,,,,,,,4.41,4.13,2.8
November,,,,,,,,2.52,5.1,5.5
December,,,,,,,,3.81,5.59,3.6
Total,,,,,,,,,36.94,35.3
,,,,,,,,,,
BR 1959 NP Insp Report,,,,,,,,,,
1960 NP Insp Report,,,,,,,,,,
most sites in Shetland ,,,,,,,,,,
have this annotation,,,,,,,,,,
for 1960,,,,,,,,,,
,,,,,,,,,,
Station no,5833/5,,,,,,,,,
Midas,14370,,,,,,,,,
Hyd Stn,,,,,,,,,,
