ASHBURTON-DOLBEARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX764702,Long,-3.74489,Lat,50.51849,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,9.53,2.15,2.34,2.47,5.84,1.38,6.9,,1.15,4.42,3.11,1.43,6.67,8.54,11.28,5.03,,,,,,,,,
February,,,,,,,5.15,2.61,2.76,0.69,8.22,2.97,6.12,,9.05,10.44,7.75,0.91,2.81,7.95,1.28,0.27,,,,,,,,,
March,,,,,,,1.59,1.55,5.08,8.19,1.2,3.52,8.06,,8.79,1.04,4.05,4.82,2.04,6.22,4.76,3.48,,,,,,,,,
April,,,,,,,0.87,6.49,3.08,2.98,2.86,2.23,0.19,,2.61,1.09,1.05,1.39,2.68,2,4.67,0.62,,,,,,,,,
May,,,,,,,3.02,5.47,2.36,1.2,3.11,1.68,2.01,,2.07,3.89,1.58,2.57,0.86,1.19,2.15,2.78,,,,,,,,,
June,,,,,,,2.66,3.21,0.75,4.13,1.73,2.97,5.18,,1.39,1.59,2.35,3.34,1.23,0.85,1.98,0.09,,,,,,,,,
July,,,,,,,0.74,1.99,2.64,2.97,3.24,1.02,2.94,,4.3,3.66,0.98,2.36,4.35,1.39,4.49,0.85,,,,,,,,,
August,,,,,,,2.46,1.14,6.42,2.22,5.33,1.76,9.14,,2.79,2.79,5.53,5.8,2.39,4.07,1.7,2.42,,,,,,,,,
September,,,,,,,1.01,1.36,2.96,1.74,0.54,2.41,1.39,,3.59,1.24,2.96,2.35,9.21,2.37,0.89,1.1,,,,,,,,,
October,,,,,,,7.91,7.91,2.43,10.42,7.72,5.59,7.52,,6.04,4.67,8.5,7.77,2.75,1.46,5.07,2.14,,,,,,,,,
November,,,,,,,4.08,5.96,1.59,1.56,6.8,6.94,3,,7.23,4.56,8.42,1.19,4.74,4.19,4.3,4.74,,,,,,,,,
December,,,,,,,2.9,7.91,6.42,8.38,11.54,15.69,8.12,,14.57,13.32,5.78,0.94,7.4,8.88,8.68,2.32,,,,,,,,,
Total,,,,,,,41.92,47.75,38.83,46.95,58.13,48.16,60.57,,63.58,52.71,52.06,34.87,47.13,49.11,51.25,25.84,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved to Ashburton Council School but only data for 1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
