"TURNHOUSE (EDINBURGH AIRPORT)",,,,,,,,,,,,
Grid ref,NT159739,Long,-3.348323,Lat,55.950744,,,,,,,
Station no,5140/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.89,2.19,0.37,2.82,1.89,1.45,3.48,0.99,0.62,2.44,,
February,1.97,0.48,0.58,1.46,1.46,1.62,3.46,2.02,0.46,2.03,,
March,2.82,0.91,0.49,1.61,1.51,1.00,1.71,1.87,0.58,1.10,,
April,2.27,1.39,2.23,1.63,0.44,0.52,0.77,1.65,1.51,0.63,,
May,2.80,1.48,1.91,4.21,2.18,0.75,1.72,1.99,0.81,1.46,,
June,1.94,1.89,1.31,2.11,0.92,2.94,1.47,3.63,1.74,0.79,,
July,3.73,1.95,4.45,2.04,1.09,4.29,3.59,5.81,3.21,2.90,,
August,5.09,3.47,1.89,4.29,1.00,-999.00,2.52,4.00,0.38,3.85,,
September,0.87,2.14,2.54,2.55,1.30,3.92,1.39,3.49,0.66,1.31,,
October,0.47,1.45,0.97,6.49,1.43,1.81,1.91,1.33,1.69,2.90,,
November,4.29,2.21,3.32,2.42,0.77,0.63,2.06,1.25,5.26,2.15,,
December,2.27,2.41,2.98,2.98,3.50,2.67,2.53,4.13,2.72,2.30,,
Total,31.41,21.97,23.04,34.61,17.49,27.33,26.61,32.16,19.64,23.86,,
Calc annual,31.41,21.97,23.04,34.61,17.49,21.60,26.61,32.16,19.64,23.86,,
Difference,0.00,-0.00,0.00,0.00,-0.00,5.73,0.00,0.00,0.00,0.00,,
