CARTMEL FLOOKBURGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD365758,Long,-2.974278,Lat,54.174042,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,0.75,8.29,5.36,4.51,6.32,3.03,7.05,4.36,2.08,1.14,0.89,3.91,4.96,5.82,2.32,4.59,2.63,1.95,,,,,,,,,,,,,,3.67,4.26,5.14,2.2,5.83,2.41,4.27,2.7,4.96,1.98,3.63,4.78,4.13,,,,,
February,,4.36,3.84,1.04,2.24,0.86,4.9,4.67,1.95,3.48,3.24,5.36,3.59,3.97,2.91,4.39,1.9,2.43,1.12,,,,,,,,,,,,,,1.25,3.26,3.66,2.25,2.78,2.5,2.55,2.82,5.6,5.46,2.83,2.48,4.8,,,,,
March,,2.2,4.16,2.68,2.25,1.26,3.17,3.6,2.22,2.12,2.18,4.83,3.47,1.22,2.57,3.65,4.55,1.87,2.9,,,,,,,,,,,,,,1.85,4.36,3.51,3.02,3.95,5.16,3.48,3.75,1.77,1.41,6.37,4.54,5.04,,,,,
April,1.31,2.96,1.83,0.37,0.99,1.31,2.64,2.43,2.3,1.51,2.24,2.22,4.73,3,1.41,3.38,2.92,1.78,1.17,,,,,,,,,,,,,,1.69,1.94,3.51,3.89,1.65,2.17,3.09,3.87,2.74,3.35,1.15,5.35,0.79,,,,,
May,2.32,1.8,1.73,2.26,1.45,2.27,0.24,2.77,4.35,1.92,1.86,4.1,2.82,1.34,2.79,1.74,5.1,1.36,1.41,,,,,,,,,,,,,,2.44,3.54,2.74,1.47,6.22,5.29,3.92,2.3,2.5,1.67,2.33,3.08,2.62,,,,,
June,1.86,2.05,4.4,2.14,1.01,3.93,4.27,2.04,2.61,3.76,3.27,3.02,3.34,3.11,1.43,1.71,2.25,0.28,1.7,,,,,,,,,,,,,,0.48,2.57,1.06,2.63,3.02,8.32,2.65,2.47,2.18,3.05,5.27,2.52,1.2,,,,,
July,1.64,5.01,5.51,4.18,2.29,2.69,2.55,4.46,0.55,6.9,5.2,6.35,6.14,1.73,4.67,2.39,6.22,1.35,6.55,,,,,,,,,,,,,,3.63,3.68,3.24,2.01,2.98,2.89,4.01,6.52,3.37,0.69,6.7,1.04,5.52,,,,,
August,2.05,2.89,5.04,5.34,6.64,3.22,4.64,5.06,6.4,4.52,1.97,6.39,3.45,2.06,1.45,1.72,2.8,2.16,2.78,,,,,,,,,,,,,,4.48,6.11,3.82,5.77,4.66,4.81,4.42,3.27,6.46,3.49,6.84,2.06,4.33,,,,,
September,2.65,3.26,7.15,2.69,4.63,5.91,3.53,3.14,4.12,4.36,4.79,2.66,2.22,4.38,4.45,4.77,5.85,3.94,0.84,,,,,,,,,,,,,,1.58,6.03,2.71,4.02,1.71,0.79,5.53,3.33,0.62,4.98,2.82,2.62,,,,,,
October,10.23,6.87,6.97,6.1,8.4,5.22,3.7,7.54,4.15,2.44,1.81,2.69,3.46,4.53,3.03,4.48,7.2,2.2,3.92,,,,,,,,,,,,,,3.68,7.69,3.25,3.62,6.42,7.13,2.77,7.31,2.6,5.63,6.3,3.61,,,,,,
November,3.73,2.43,4.89,3.15,4.26,5.72,2.63,7.79,1.35,1.03,5.74,5.27,6.54,5.64,1.02,4.63,5.57,2.86,5.38,,,,,,,,,,,,,,3.87,4.14,4.2,5.39,3.91,5.19,4.56,2,6.22,5.9,5.75,4.6,,,,,,
December,2.69,4.82,4.58,2.15,2.91,2.15,7.01,6.24,1.37,2.2,6.83,4.99,3.04,3.42,4.93,1.89,5.05,3.4,3.5,,,,,,,,,,,,,,4.29,3.27,3.6,1.52,4.7,5.99,3.57,7.5,4.32,7.75,5.79,3.46,,,,,,
Total,,39.4,58.39,37.46,41.58,40.86,42.31,56.79,35.73,36.32,40.27,48.77,46.71,39.36,36.48,37.07,54,26.26,33.22,,,,,,,,,,,,,,32.91,50.85,40.44,37.79,47.83,52.65,44.82,47.84,43.34,45.36,55.78,40.14,,,,,,
