TRENTHAM-MEADOW-LANE,,,,,,,,,,
Grid ref,SJ881411,Long,-2.1786277,Lat,52.967126,Elevation,364,ft.,,
Station no,2363/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.81,3.07,4.87
February,,,,,,,,4.46,0.4,2.08
March,,,,,,,,1.64,1.91,1.38
April,,,,,,,,1.06,3.54,1.58
May,,,,,,,,3.22,1.35,1.56
June,,,,,,,,5.7,1.83,3.54
July,,,,,,,,3.81,1.47,3.7
August,,,,,,,,4.03,1.78,4.57
September,,,,,,,,4.7,0.22,4.38
October,,,,,,,,3.27,2.05,4.52
November,,,,,,,1.7,1.86,3.56,4.27
December,,,,,,,1.6,2.91,4.91,2.99
Total,,,,,,,,39.47,26.09,39.44
,,,,,,,,,,
NGR is from 1950s record and is near Meadow Lane. Altitudes match.,,,,,,,,,,
MIDAS src_id 2912 ends 1968,,,,,,,,,,
