OKEHAMPTON-UPLANDS-(OAKLANDS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX588958,Long,-4.00155,Lat,50.7449,Elevation,521,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,3.54,4.35,9.35,8.02,6.1,8.28,1.42,8.81,2.89,5.39,0.92,1.77,4.08,5.42,6.98,4.21,6.8,5.18,2.29,2.89,7.17,4.45,3.77,3.83,5.4,4.69,1.55,3.27,1.46,9.63,6.47,4.73,3.34,6.76,7.27,2.74,7.72,2.69,2.93,3.12,7.06,2.05,3.83,7.93,2.44,6.18,3.54,2.22,6.81,6.59
February,3.22,3.31,6.7,3.33,4.13,2.47,6.71,4.18,2.66,5.98,6.01,4.67,3.28,7.48,5.53,6.71,1.71,0.81,1.52,3.76,1.3,0.09,4.19,7.24,4.88,0.14,0.88,4.82,3.67,4.85,7.66,1.86,1.8,4.43,7.84,2.38,5.43,2.06,3.57,0.71,8.73,3.37,3.94,1.79,6.44,8.78,8.58,1.07,3.62,3.65
March,2.43,2.46,4.32,5.62,2.34,2.61,5.14,3.29,3.39,1.51,2.7,3.99,2.42,1.83,4.11,1.34,4.7,1.77,6.3,4.14,2.43,2.42,1.35,0.77,3.59,3.28,5.45,5.57,2.37,1.41,2.48,5.08,3.52,6.05,3.11,7.31,2.79,1.43,5.04,6.94,1.09,2.73,7.24,6.77,9.93,0.87,4.23,3.43,1.99,6.44
April,0.58,5.72,3.3,0.91,3.1,2.7,4.79,4.75,3.51,3,2.96,1.14,6.77,1.93,2.15,4.91,3.48,1.9,2.24,2.37,4.8,2.78,1.49,0.54,2.79,2.53,0.82,5.05,2.25,4.17,1.86,4.31,1.61,1.99,2.62,3.54,1.67,5.88,3.11,3.5,3.04,3.37,0.31,5.73,2.37,1.97,1.63,3.04,2.86,4.02
May,2.42,0.4,3.36,1.73,0.78,3.68,0.32,3.76,4.93,3.15,1.13,2.29,1.95,1.94,2.14,3.12,3.02,1.92,1.96,3.28,2.45,3.82,1.83,1.96,3.85,0.6,0.07,1.74,4.88,3.72,3.04,1.26,2.52,2.53,3.51,0.43,2.42,4.2,2.87,1.99,3.34,1.58,2.13,2.43,2.02,2.72,2.24,2.34,1.49,
June,0.28,3.07,3.98,1.69,2.22,4.28,2.02,1.94,3.68,5.45,3.48,3.82,4.49,2.86,1.3,2.07,0.98,0.12,2.72,0.64,3.21,2.27,2.08,0.74,2.43,1.1,2.15,2.55,3.86,1.45,3.72,2.61,4.36,2.66,1.29,2.61,1.54,3.88,1.62,2.81,3.4,3.64,6.43,2.22,2.1,1.86,2.54,4.67,1.47,
July,1.45,5.36,5.95,3.23,1.95,3.02,1.27,6.16,1.56,4.28,6.2,3.68,5.41,3.6,2.99,2.07,3.01,1.6,7.01,3.43,4.39,3.03,2.26,6.14,3.7,4.06,1.81,1.89,0.64,1.25,1.24,1.81,3.14,3.02,3.88,0.5,1.27,3.37,2.83,2.65,3.61,0.33,2.3,0.79,4.67,5.11,1.18,2.31,4.37,
August,2.02,1.72,1.89,7.27,6.01,4.37,4.24,5.22,7.42,7.16,0.92,5.39,4.41,2.88,2.74,1.46,2.71,1.68,2.97,6.14,3.92,8.37,4.19,1.88,4.4,4.54,2.49,7.37,4.31,1.78,2.87,1.97,1.69,4.94,2.99,6.05,2.74,2.97,4.73,2.17,7.02,1.76,10.44,1.41,3.44,3.22,5.09,9,2.97,
September,3.02,6.51,5.05,3.43,7.37,4.88,6.82,2.75,3.13,3.49,4.83,3.03,3.81,6.66,3.33,5.92,3.6,4.27,1.62,1.65,1.67,3.65,4.59,2.96,2.1,1.53,7.7,6.31,1.26,4.04,1.73,2.45,2.4,5.04,2.01,1.71,1.35,1.02,2.59,1.63,0.26,2.95,1.59,1.9,2.99,1.52,2.83,2.36,9.1,
October,7.93,6.46,9.38,4.97,6.95,7.51,3.98,2.66,7.25,2.5,8.47,5.63,6.72,5.74,2.76,8.16,8.36,4.81,2.51,5.47,4.04,9.3,6.81,4.72,6.83,7.6,5.13,1.63,8.17,4.17,4.42,3.28,3.61,10.17,3.09,3.47,6.19,7.81,1.21,8.53,6.42,5.1,6.15,4.8,4.18,4.04,8.1,10.1,2.92,
