"NORMANBY",,,,,,,,,,,,
Grid ref,SE883168,Long,-0.665894,Lat,53.640275,,,,,,,
Station no,2578/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.70,1.96,0.92,1.63,1.49,4.05,1.03,2.22,2.39,,,
February,2.62,0.64,1.71,2.20,2.21,1.38,1.70,4.03,0.25,,,
March,2.99,2.22,0.58,1.90,2.35,1.12,1.33,2.04,1.34,,,
April,0.83,0.98,1.98,0.22,1.13,1.72,0.22,0.71,2.89,,,
May,3.65,1.25,1.99,3.07,3.28,0.46,0.94,1.74,0.33,,,
June,1.14,2.67,1.54,1.91,2.87,3.08,3.54,4.91,1.93,,,
July,1.15,1.57,1.91,2.71,1.21,3.44,3.32,4.12,1.71,,,
August,5.20,1.26,2.66,5.85,0.74,5.55,5.27,2.51,0.37,,,
September,1.24,3.86,1.41,1.66,0.86,1.72,4.07,2.16,0.11,,,
October,1.26,2.62,1.89,3.95,1.42,1.26,1.34,2.01,1.66,,,
November,4.60,2.28,1.43,4.17,1.21,0.85,2.01,0.79,2.06,,,
December,1.78,1.89,1.13,2.64,2.61,1.41,2.17,3.76,2.87,,,
Total,28.16,23.20,19.15,31.91,21.38,26.04,26.94,31.00,17.91,,,
Calc annual,28.16,23.20,19.15,31.91,21.38,26.04,26.94,31.00,17.91,0.00,,
Difference,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,NaN,,
