CONGLETON-SWETTENHAM-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ810664,Long,-2.2858429,Lat,53.19434,Elevation,260,ft.,,,,,,,,,,,,
Station no,2772/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,2.87,2.99,,,,,,,,2.65,2.79,1.42,,,
February,,,,,,1.63,4.81,,,,,,,,2.44,5.04,0.78,,,
March,,,,,,1.24,1.67,,,,,,,,1.06,0.68,4.26,,,
April,,,,,,1.19,3.09,,,,,,,,1.49,1.4,,,,
May,,,,,,1.18,1.83,,,,,,,,2.99,1.5,,,,
June,,,,,,2.78,1.27,,,,,,,,2.74,3.04,,,,
July,,,,,,4.16,,,,,,,,,1.33,6.07,,,,
August,,,,,,2.14,,,,,,,,,2.38,4.09,,,,
September,,,,,,3.16,,,,,,,,,1.81,3.67,,,,
October,,,,,,2.25,,,,,,,,,4.89,0.62,,,,
November,,,,,,2.94,,,,,,,,,0.67,4.65,,,,
December,,,,,,2.71,,,,,,,,1.94,2.58,3.22,,,,
Total,,,,,,28.25,,,,,,,,,27.03,36.77,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Swettenham Hall, Altitudes match.",,,,,,,,,,,,,,,,,,,,
Gauge moved to Davenport Cottage in 1937 and returned in 1945,,,,,,,,,,,,,,,,,,,,
