CONGLETON-DAVENPORT-COTTAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ797668,Long,-2.3053262,Lat,53.197887,Elevation,190,ft.,,,,,,,,,,,,
Station no,2772/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,3.53,4.55,2.08,1.19,3.21,4.98,4.81,,,,,,
February,,,,,,,,0.8,2,2.35,3.04,1.47,1.7,1.28,,,,,,
March,,,,,,,,0.74,1.88,2.25,2.64,1.54,0.83,0.58,,,,,,
April,,,,,,,,0.15,1.41,2.12,1.37,1.63,1.41,2.5,,,,,,
May,,,,,,,,2.69,1.52,1.69,2.37,3.85,1.99,4.34,,,,,,
June,,,,,,,,2.69,2.23,1.34,0.46,0.4,2.62,2.65,,,,,,
July,,,,,,,3.49,4.17,4.78,4.31,3.64,3.64,1.75,3.28,,,,,,
August,,,,,,,1.49,3.66,2.44,1.13,4.61,2.33,3.36,2.62,,,,,,
September,,,,,,,2.37,1.53,1.29,2.73,0.45,2.14,4.53,3.29,,,,,,
October,,,,,,,1.65,3.84,3.09,3.79,3.66,3.45,3.06,4.21,,,,,,
November,,,,,,,1.47,3.34,4.76,6.67,2.44,0.74,2.61,4.54,,,,,,
December,,,,,,,2.97,3.65,1.74,3.11,1.33,3.02,1.63,,,,,,,
Total,,,,,,,,30.79,31.69,33.57,27.2,27.42,30.47,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is near Davenport House with stated relationship to church and also stated altitude.,,,,,,,,,,,,,,,,,,,,
Gauge moved here from Swettenham Hall and moved back again in 1945,,,,,,,,,,,,,,,,,,,,
"Jan 1940 reading corrected for snow, but left in this record",,,,,,,,,,,,,,,,,,,,
