BENENDEN-PULLINGTON (ROLVENDEN HOLE PARK),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ832325,Long,0.61307355,Lat,51.062604,Elevation,220,ft,,,,,,,,,,,,
Station no,RR4500,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,0.94,0.8,2.5,3.25,0.47,2.65,2.82,2.87,0.87,2.65,,
February,,,,,,,,,1.89,2.22,1.16,0.08,2.17,4.4,1.73,0.29,0.47,2.34,,
March,,,,,,,,,3.97,1.98,2.67,2.09,1.75,0.75,1.31,1.91,2.94,4.05,,
April,,,,,,,,,1.7,2.33,2.92,0.83,1.65,0.04,2.49,1.7,0.59,2.06,,
May,,,,,,,,,1.41,1.32,1.57,3.19,0.32,1,2.03,0.12,0.3,1.18,,
June,,,,,,,,,2.58,0.82,2.92,1.86,2.98,0.7,1.81,0.17,3.66,2.04,,
July,,,,,,,,,4.3,2.53,2.66,2.99,2.47,3.27,6.39,3.8,1.04,,,
August,,,,,,,,,2.34,3.4,3.69,4.73,3.84,1.49,1.75,2.3,2.47,,,
September,,,,,,,,,0.96,2.41,2.02,0.65,2.08,3.26,3.51,0.57,6.2,,,
October,,,,,,,,,2.42,6.57,1.43,6.01,6.77,4.23,4.55,3.81,5.96,,,
November,,,,,,,,,4.34,1.22,4.07,2.83,2.63,3.37,3.91,5.49,1.41,,,
December,,,,,,,,,1.96,1.35,0.62,3.43,2.31,2.98,2.01,2.78,3.95,,,
Total,,,,,,,,,28.81,26.95,28.23,31.94,29.44,28.14,34.31,25.81,29.86,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1897 Jul Gauge moved to Benenden Pullington,,,,,,,,,,,,,,,,,,,,
