NEWBURY-GRAMMAR-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU464664,Long,-1.3344744,Lat,51.394747,Elevation,279,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,,,,,0.6,3.81,1.17,1.07,3.26,3.74,3.5,3.06,3.53,,,,,,,,
February,,,,,,,,,,,,,,,3.74,4.27,4.58,0.95,1.12,2.74,0.67,0.3,3.24,,,,,,,,
March,,,,,,,,,,,,,,,4.44,0.89,3.61,1.85,0.77,5.05,1.58,1.45,3.29,,,,,,,,
April,,,,,,,,,,,,,,,0.78,0.83,0.83,1.6,2.85,2.32,3.94,1.11,3.94,,,,,,,,
May,,,,,,,,,,,,,,,1.66,3.55,1.6,2.07,1.52,0.93,1.7,1,1.09,,,,,,,,
June,,,,,,,,,,,,,,,1.25,1.92,2.01,2.32,0.67,1.05,2.48,0.21,1.34,,,,,,,,
July,,,,,,,,,,,,,,,2.39,3.5,1.42,4.44,5.09,1.52,5.77,0.3,5.31,,,,,,,,
August,,,,,,,,,,,,,,,2.28,2.45,3.15,5.8,1.11,3.09,1.36,1.69,3.53,,,,,,,,
September,,,,,,,,,,,,,,,0.94,2.71,1.51,2.06,5.4,2.08,1.1,2.14,1.64,,,,,,,,
October,,,,,,,,,,,,,,,2.44,3.65,4.24,4.39,1.88,1.35,2.33,1.65,1.16,,,,,,,,
November,,,,,,,,,,,,,,,3.08,2.37,4.28,0.56,2.83,1.56,1.07,1.96,1.91,,,,,,,,
December,,,,,,,,,,,,,,,7.21,5.84,3.8,1.14,2.47,6.21,2.76,1.75,3.53,,,,,,,,
Total,,,,,,,,25.73,26.45,27.28,30.92,23.25,34.11,26.45,30.81,35.79,32.2,28.25,28.97,31.64,28.26,16.62,33.51,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the Grammar School. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
