"BURBAGE (HIGGER LODGE)",,,,,,,,,,,,
Grid ref,SK253815,Long,-1.621580,Lat,53.329815,,,,,,,
Station no,2687,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.38,4.50,1.26,2.91,3.80,5.70,2.36,3.60,3.22,6.17,,
February,3.84,1.09,2.90,3.20,3.28,1.80,3.30,5.51,0.21,3.29,,
March,4.66,2.13,2.38,2.65,3.70,1.78,2.90,2.75,1.83,2.63,,
April,1.82,2.30,2.40,0.67,1.10,1.60,0.31,1.27,3.81,2.07,,
May,4.68,3.23,2.97,3.25,3.95,0.80,1.62,3.39,1.25,2.45,,
June,1.35,2.00,3.00,3.53,4.10,4.39,1.72,5.20,1.61,1.61,,
July,1.72,1.94,3.72,3.31,2.26,6.13,3.88,9.56,2.01,4.38,,
August,4.71,2.03,3.39,7.13,0.93,6.85,6.95,2.56,1.02,5.63,,
September,2.05,3.37,1.66,3.34,1.40,4.46,6.26,3.48,0.09,5.97,,
October,1.23,5.68,1.92,3.92,2.53,1.96,2.26,2.97,2.95,8.59,,
November,8.33,2.71,1.64,6.34,2.65,1.42,2.63,1.10,4.63,5.40,,
December,3.40,2.95,1.77,4.56,4.35,4.76,3.61,4.45,5.15,4.08,,
Total,41.17,33.93,29.01,44.81,34.05,41.65,37.80,45.84,27.78,52.27,,
Calc annual,41.17,33.93,29.01,44.81,34.05,41.65,37.80,45.84,27.78,52.27,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
