IWERNE-MINSTER-WEST-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST894157,Long,-2.15223,Lat,50.94064,Elevation,600,ft,,,,,,,,,,,,
Station no,1626/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.84,5.83,8.08,3.54,6.57,2.96,4.35,4.72,,,,,,,,
February,,,,0.16,4.59,3.44,6.33,1.11,2.23,3.91,4.7,0.41,,,,,,,,
March,,,,3.57,1.3,4.48,5.24,0.23,1.82,2.73,4.02,3.37,,,,,,,,
April,,,,2.67,4.88,1.99,2.35,0.05,2.54,1.92,2.01,2.26,,,,,,,,
May,,,,1.09,1.19,0.6,3.06,2.76,0.82,1.34,2.7,4.35,,,,,,,,
June,,,,1.36,4.73,2.1,0.99,1.03,2.44,0.54,3.8,0.43,,,,,,,,
July,,,,2.22,0.88,5.92,2.69,3.7,5.94,3.22,2.29,1.46,,,,,,,,
August,,,,3.55,2.78,0.28,1.16,2.8,5.14,0.24,4.04,4.72,,,,,,,,
September,,,,3.62,3.63,4.11,4.02,2.65,1.51,1.7,1.08,2.31,,,,,,,,
October,,,,2.11,5.49,1.81,6.32,3.43,5.95,5.83,1.24,4.25,,,,,,,,
November,,,,2.07,8.07,3.41,1.77,6.1,7.63,8.71,3.1,1.8,,,,,,,,
December,,,,11.27,6.35,4.88,4.29,4.91,2.54,3.33,2.2,5.76,,,,,,,,
Total,,,,,44.73,38.85,46.3,32.31,45.13,36.43,35.53,35.84,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1934 Feb 4 Observer at Blandford Fields Oak Stn No 1617 until now ,,,,,,,,,,,,,,,,,,,,
1943 Station terminated after death of observer,,,,,,,,,,,,,,,,,,,,
