DENTON (SEWAGE WORKS),,,,,,,,,,,,
Grid ref,SJ921935,Long,-2.120387,Lat,53.438216,,,,,,,
Station no,2931/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.23,3.35,1.34,3.47,2.10,4.54,2.11,3.19,2.82,4.70,,
February,2.11,1.06,1.84,2.69,1.45,0.99,2.19,4.75,0.14,1.91,,
March,4.29,2.13,2.28,2.24,1.75,0.52,2.36,1.99,1.63,0.67,,
April,2.07,3.28,1.99,0.68,1.72,2.01,0.29,0.93,2.67,1.53,,
May,1.26,1.55,1.50,3.01,3.01,1.08,2.66,2.80,0.84,1.27,,
June,1.01,2.33,2.51,2.68,2.33,2.10,1.93,5.16,1.88,2.01,,
July,2.39,3.89,4.61,5.46,0.92,4.95,3.97,4.38,3.35,4.85,,
August,3.91,2.85,4.18,5.08,0.72,9.58,4.28,4.46,0.32,4.89,,
September,2.24,3.26,2.73,3.76,1.94,2.43,6.17,3.81,0.17,3.98,,
October,0.87,3.10,1.68,6.56,1.73,2.60,3.89,2.44,2.92,3.35,,
November,6.34,2.50,3.19,5.23,1.50,1.68,1.48,1.30,3.50,5.13,,
December,5.25,3.23,1.46,4.82,3.73,3.58,3.54,3.17,4.60,3.49,,
Total,34.97,32.53,29.31,45.68,22.90,36.06,34.87,38.38,24.84,37.78,,
Calc annual,34.97,32.53,29.31,45.68,22.90,36.06,34.87,38.38,24.84,37.78,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
