HAFOD-YR-ONEN-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH972554,Long,-3.5363105,Lat,53.085886,Elevation,1175,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,5.58,2.36,5.45,3.23,4.75,1.33,2.84,3.54,3.77,7.1,3.53,2.87,3.26,3.7,5.87,7.6,4.75,4.25,3.09,3.79,4.9,4.76,7.5,1.34,6.21,4.22,4.81,3.24,3.56,2.52,5.82,3.79,6.08,7.32,2.15,3.09,6.09,5.96,5.2,4.77,5.74,4.16,10.79,,
February,,,,,,,4.16,2.55,4.22,2.75,5.56,,2.68,2.2,3.67,7.2,5.87,1.23,4.7,2.64,4.52,0.7,5.49,6.49,1.05,6.41,2.62,2.88,5.09,0.68,0.64,4.4,0.09,4.09,0.34,5.43,3.25,6.09,1.29,4.04,3.51,4.67,2.13,3.23,2.38,4.61,7.25,1.92,3,,
March,,,,,,,4.02,2.91,3.92,3.36,1.78,2.21,5.16,5.58,5.42,1.38,2.96,3.3,1.35,,6.07,4.04,4.3,1.78,1.2,1.69,1.46,4.96,2.69,0.34,4.31,0.77,3.52,2.5,3.04,1.52,3.36,3.25,1.32,4.76,3.1,3.89,3.14,1.04,1.09,1.22,1.53,6.66,1.84,,
April,,,,,,,1.46,2.07,2.48,4.24,4.43,2.31,1.07,5.07,1.88,2.3,3.52,3.19,2.19,3.79,5.94,1.42,3.34,2.54,3.12,2.83,1.99,2.69,1.66,1.12,3.32,5.23,5.12,1.18,3.12,3.33,2.26,4.59,0.3,2.51,3.28,1.55,2.16,1.74,1.24,3.1,0.98,4.39,2.05,,
May,,,,,,,4.65,3.36,3.6,1.48,2.65,1.59,1.26,2.56,3.32,2.38,4.12,2.67,3.94,1.48,4.25,2.34,0.96,5.27,5.62,4.28,3.69,2.6,2,2,1.51,3.9,3.48,2.08,3.07,1.51,3.06,1.85,2.4,1.87,2.66,2.47,3.38,4.15,2.54,4.23,2.95,3.7,1.24,,
June,,,,,,,1.86,5.04,2.83,2.32,4.23,3.82,4.19,3.11,3.9,0.59,2.51,2.11,2.7,2.74,2.76,0.48,2.5,1.21,2.43,0.03,1.92,5.45,5.27,2.26,1.28,3.75,1.63,4.95,1.91,4.29,6.99,2.08,5.02,3.95,1.64,0.9,0.61,2.92,2.24,3.76,4.65,2.76,5.73,,
July,,,,,,,1.02,1.93,5.12,3.66,5.01,1.61,3.69,1.46,5.55,4.44,1.71,1.9,3.9,1.9,6.97,2.18,4.67,2.88,4.61,2.15,5.71,2.54,1.4,2.9,6.08,2.08,6.2,1.76,1.48,0.85,4.93,2.35,3.71,6.85,3.68,1.56,4.28,3.62,2.85,2.34,2.41,2.77,2.22,,
August,,,,,,,3.56,3.65,4.29,3.08,4.88,5.08,5.75,1.68,2.46,3.61,3.13,8.11,2.73,3.78,3.42,5.91,2.28,4.91,5.13,2.72,4.06,7.9,4.54,4.3,5.81,7.05,2.01,0.96,5.38,1.36,1.11,0.59,3.39,2,1.17,5.24,5.18,4.43,2.36,1.9,6.57,0.48,4.52,,
September,,,,,,,1.28,0.81,4.11,5.88,0.56,4.3,1.02,2.69,2.38,1.59,4.75,2.13,8.86,4.36,3.63,1.91,4.09,3.85,5.83,5.91,4.63,5.65,2.84,2.28,4.61,5.67,4.38,1.04,2.51,7.57,4.97,1.58,1.88,1.14,4.28,1.12,4.01,5.82,6.1,2.44,6.14,2.19,2.96,,
October,,,,,,,7.29,7.8,1.83,7.22,4.37,3.45,4.88,4.29,3.22,2.29,8.37,7.49,3.47,5.69,2.06,3.24,0.82,7.62,5.02,5.2,4.14,4.9,7.74,6.21,6.86,3.26,7.14,4.66,5.95,8.15,3.43,3.36,6.34,4.59,5.45,5.88,3.34,4.69,5.68,5.37,1.43,0.65,3.37,,
November,,,,,,,4.35,2.67,3.98,2.45,5.28,5.91,3.76,4.12,5.34,3.37,4.09,4.53,2.6,3.74,1.9,2.9,2.64,5.11,2.54,3.32,6.15,5.73,7.09,6.64,5.85,7.14,3.25,1.66,2.92,5.69,5.98,1.51,5.15,7.48,7.42,2.83,1.69,3.75,8.34,0.65,5.97,7.13,3.77,,
December,,,,,,,4.58,4.44,3.52,6.89,7.13,6.81,6.01,3.36,9.59,7.24,2.68,2.17,6.26,8.04,3.59,6,6.63,4.82,4.54,5.84,1.61,1.31,2.81,7.79,6.29,2.25,2.7,1.45,6.38,2.67,5.22,2.8,4.68,3.2,2.56,2.7,4.73,2.48,4.86,4.82,5.53,4.41,6.23,,
Total,,,,,,,43.81,39.59,45.35,46.56,50.63,,42.31,39.66,50.5,43.49,47.24,41.7,45.96,,50.98,38.72,42.47,50.73,44.18,44.17,42.88,51.37,50.63,37.86,52.77,49.72,44.33,29.57,39.66,44.89,50.38,33.84,41.56,49.71,40.9,35.9,40.74,43.83,44.88,39.21,51.15,41.22,47.72,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940s record and is near Hafod Yr Onnen. Stated altitude 50 ft too low. A new gauge was installed in the 1940s at the same stated altitude but has a different NGR 350 NW actually at Hafod yr Onnen. I think the new and old gauge are in the same poition but the fact that the new gauge has a different station number suggests otherwise hence different NGRs used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
