HAFOD-YR-ONEN-NEW-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SH969556,Long,-3.5408521,Lat,53.087625,Elevation,1175,ft.,,,,,,,,,,,,
Station no,4303/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.94,11.86,3.97,2.03,4.42,7.13,1.64,4.83,4.24,5.17,5.33,4.75,5.66,8.89
February,,,,,,,1.81,3.6,2.16,7.35,4.79,1.98,2.93,4.53,4.59,0.99,4.32,7.46,0.74,5.38
March,,,,,,,6.96,2.35,2.85,2.42,6.67,1.48,2.4,3.59,2.37,2.26,2.8,1.48,2.71,2.2
April,,,,,,,5.17,2.3,4.44,5.52,3.86,2.67,3.66,1.5,2,2.87,0.78,1.34,6.67,2.39
May,,,,,,3.08,3.81,1.46,3.11,1.76,4.91,3.04,2.88,5.52,6.03,1.05,2.09,3.74,2.86,1.75
June,,,,,,4.94,2.84,6.35,0.79,1.68,1.61,2.18,3.33,3.19,3.52,2.33,1.09,4.02,1.95,1.53
July,,,,,,2.64,2.84,2.4,2.06,3.25,2,1.27,4.46,4.97,0.72,5.35,6.07,4.81,4.46,4.2
August,,,,,,7.08,0.49,4.75,3.47,6.03,6.23,3.75,3.55,6.54,1.59,8.27,8.32,4.31,1.12,4.06
September,,,,,,6.35,2.41,3.06,1.09,9.44,4.75,7.22,5.59,4.67,2.29,4.32,7.36,6.97,0.35,6.98
October,,,,,,1.6,0.71,3.44,7.86,4.08,2.18,7.85,2.26,8.75,4.37,3.45,4.84,4.5,5.92,5.95
November,,,,,,7.11,7.6,3.89,6.69,6.34,8.46,4.12,5.12,9.04,2.29,2.15,3.27,2.96,6.11,10.25
December,,,,,,6.08,4.48,6.75,7.58,4.95,7.52,5.97,1.85,5.12,4.81,4.95,3.91,3.7,8.61,5.91
Total,,,,,,,44.06,52.21,46.07,54.85,57.4,48.66,39.67,62.25,38.82,43.16,50.18,50.04,47.16,59.49
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is Hafod Yr Onnen. Altitudes match.,,,,,,,,,,,,,,,,,,,,
