HONITON-IVEDON,,,,,,,,,,,,,,,,,,,,
Grid ref,ST144016,Long,-3.2156,Lat,50.808,Elevation,430,ft,,,,,,,,,,,,
Station no,RR2170,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,0.64,,2.5,,,,,,,,
February,,,,,,,,,,2.25,,0,,,,,,,,
March,,,,,,,,,,2.88,,1.6,,,,,,,,
April,,,,,,,,,,2.22,,1.22,,,,,,,,
May,,,,,,,,,,3.11,,2.4,,,,,,,,
June,,,,,,,,,,0.72,,1.3,,,,,,,,
July,,,,,,,,,,3.42,,2.84,,,,,,,,
August,,,,,,,,,,3.46,,4.65,,,,,,,,
September,,,,,,,,,,1.51,,1.62,,,,,,,,
October,,,,,,,,,,3.89,,7.76,,,,,,,,
November,,,,,,,,,,1.69,,4.51,,,,,,,,
December,,,,,,,,,,2.38,,3.9,,,,,,,,
Total,,,,,,,,,,28.17,,34.3,,,,,,,,
