"RISHWORTH MOOR, GREAT WALDEN EDGE new short lived gauge lower down the hill",,,,,,,,,,,,,,,,,,,,,
Grid ref,SD997155,Long,-2.0054501,Lat,53.636251,Elevation,1078,ft,,,,,,,,,,,,,
Station no,3208,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.16,5,4.9,4.88,11.69,2.04,8.11,6.83,,,,,,,,,
February,,,,,1.67,7.88,4.38,1.73,6.22,0.84,1.39,7.08,,,,,,,,,
March,,,,,1.83,2.19,2.44,6.1,3.02,1.34,3.33,0.68,,,,,,,,,
April,,,,,2.34,3.51,2.24,4.47,1.15,1.86,3.75,4.56,,,,,,,,,
May,,,,,6.54,4.51,5.5,1.78,1.87,3.93,2.94,3.36,,,,,,,,,
June,,,,,3.39,0.12,3.23,4.92,7.65,1.79,2.48,7.42,,,,,,,,,
July,,,,,4.12,2.39,3.43,3.28,2.12,2.56,8.15,5.32,,,,,,,,,
August,,,,,6.46,4.03,5.22,8.73,5.9,6.37,8.9,6.78,,,,,,,,,
September,,,,,6.04,4.09,4.25,7.18,0.76,2.26,5.36,4.65,,,,,,,,,
October,,,,,6.12,6.84,4.27,4.74,5.57,6.82,7.88,3.12,,,,,,,,,
November,,,,,2.91,3.1,6.46,6.05,8.34,9.47,6.58,8.34,,,,,,,,,
December,,,,,5.85,4.52,2.51,2.14,3.69,8.72,4.13,2.69,,,,,,,,,
Total,,,,,50.43,48.18,48.83,56,57.98,48,63,60.83,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_22_pt1-page-071.csv 1920s-2,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1-page-014.csv 1930s-3,,,,,,,,,,,,,,,,,,,,,
