BAGATELLE GREENOCK,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 268 774,Long,-4.775405,Lat,55.958407,Elevation,50,ft,,,,,,,,,,,,
Station no,RR1854,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,3.1,4.9,11.1,4.8,10.2,13.9,11.4,7.9,1.3,,,,
February,,,,,,,,2.7,12.4,5.7,9.5,9.2,8.4,2.2,5.3,1.1,,,,
March,,,,,,,,1.5,4.9,2,0.7,6.4,0.6,1.2,3.6,3.7,,,,
April,,,,,,,,3.7,1.7,2.4,4.3,2.6,1.4,2.7,1.6,2.2,,,,
May,,,,,,,,3.2,2.3,4.5,3.4,1.1,3.4,0.7,5.2,2.5,,,,
June,,,,,,,,2.2,4.1,2.3,3.5,5.2,3.2,3.7,5.4,3,,,,
July,,,,,,,,3.2,5.4,5,2.7,6.7,5.3,5.1,2.6,2.8,,,,
August,,,,,,,,4.4,3.9,3.9,5.3,7.1,5.3,3.2,2.7,6.3,,,,
September,,,,,,,,4.6,2.5,4.9,2.7,1.3,0.8,5.4,3.4,1.6,,,,
October,,,,,,,,7.7,5.1,5.1,4.2,5.4,2.3,7.3,7.1,8.2,,,,
November,,,,,,,,7.2,6.8,10.4,8.2,1.7,8.2,5.2,5,1.7,,,,
December,,,,,,,,8.9,6.2,3.5,6.7,4,19.3,0.6,11.7,4.3,,,,
Total,,,,,,,,52.4,60.2,60.8,56,60.9,72.1,48.7,61.5,38.7,,,,
