ARBROATH (SPRINGFIELD PARK),,,,,,,,,,,,,,,,,,,,
Grid ref,NO648411,Long,-2.574303,Lat,56.56054,Elevation,95,ft,,,,,,,,,,,,
Station no,5598,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.15,1,3.67,0.92,0.5,1.03,1.47,2.24,1.89,1.89,0.94,3.38
February,,,,,,,,,0.98,1.89,1.69,0.45,0.61,1.38,1.59,1.11,2.7,2.02,0.1,1.81
March,,,,,,,,,0.93,2.11,1.98,2.41,0.17,2.02,1.24,0.67,2.05,4.43,0.81,1.57
April,,,,,,,,,2.01,1.33,2.46,1.17,2.34,1.03,0.71,1.26,0.83,1.77,2.18,1.74
May,,,,,,,,,1.46,1.33,1.11,2.24,1.94,2.41,1.32,0.55,1.43,2.39,0.89,1.04
June,,,,,,,,,0.85,0.81,1.65,2.14,1.52,1.87,1.13,3.12,1.01,1.28,2.39,1.56
July,,,,,,,,,2.05,3.09,3.06,2.01,3.57,1.97,0.96,3.5,3.39,5.42,2.05,1.46
August,,,,,,,,,2.49,2.09,3.5,2.29,1.91,2.26,0.19,3.79,3.73,3.58,0.58,3.01
September,,,,,,,,,1.15,4.57,1.13,0.96,2.44,2.12,1.02,4.63,1.31,2.07,0.45,2.22
October,,,,,,,,,3.01,1.35,0.57,1.55,1.14,4.78,1.6,1.37,1.17,1.42,1.95,5.03
November,,,,,,,,,3.04,2.77,5.6,1.64,2.12,3.01,1.75,0.68,1.13,0.76,3.5,3.34
December,,,,,,,,,1.45,0.89,1.37,2.02,2.99,2.14,4.41,2.34,3.11,3.29,4.68,1.46
Total,,,,,,,,,20.57,23.23,27.79,19.8,21.25,26.02,17.39,25.26,23.75,30.32,20.52,27.62
,,,,,,,,,,,,,,,,,,,,
Station no,5598,,,,,,,,,,,,,,,,,,,
Midas,191,Start Date does not agree,,,,,,,,,,,,,,,,,,
Hyd Stn,857708,,,,,,,,,,,,,,,,,,,
